run	trial	onset	stimtype	itemnum	cresp	resp	acc	rt
3	1	12	1	18	1	1	1	0.764
3	2	15	1	56	1	1	1	0.404
3	3	18	1	29	1	1	1	0.398
3	4	21	1	4	1	1	1	0.421
3	5	24	1	3	1	1	1	0.490
3	6	27	1	49	1	1	1	0.485
3	7	30	1	49	2	2	1	0.531
3	8	33	1	60	1	1	1	0.390
3	9	36	NaN	NaN	NaN	NaN	NaN	NaN
3	10	39	NaN	NaN	NaN	NaN	NaN	NaN
3	11	42	NaN	NaN	NaN	NaN	NaN	NaN
3	12	45	NaN	NaN	NaN	NaN	NaN	NaN
3	13	48	3	43	1	1	1	0.586
3	14	51	3	26	1	1	1	0.421
3	15	54	3	23	1	1	1	0.433
3	16	57	3	34	1	1	1	0.735
3	17	60	3	11	1	1	1	0.536
3	18	63	3	35	1	1	1	0.710
3	19	66	3	62	1	1	1	0.826
3	20	69	3	62	2	2	1	0.707
3	21	72	NaN	NaN	NaN	NaN	NaN	NaN
3	22	75	NaN	NaN	NaN	NaN	NaN	NaN
3	23	78	NaN	NaN	NaN	NaN	NaN	NaN
3	24	81	NaN	NaN	NaN	NaN	NaN	NaN
3	25	84	2	55	1	1	1	0.439
3	26	87	2	29	1	1	1	0.576
3	27	90	2	58	1	1	1	0.404
3	28	93	2	30	1	1	1	0.399
3	29	96	2	30	2	2	1	0.747
3	30	99	2	18	1	1	1	0.468
3	31	102	2	36	1	1	1	0.447
3	32	105	2	62	1	1	1	0.413
3	33	108	NaN	NaN	NaN	NaN	NaN	NaN
3	34	111	NaN	NaN	NaN	NaN	NaN	NaN
3	35	114	NaN	NaN	NaN	NaN	NaN	NaN
3	36	117	NaN	NaN	NaN	NaN	NaN	NaN
3	37	120	3	10	1	1	1	0.837
3	38	123	3	7	1	1	1	0.555
3	39	126	3	7	2	2	1	0.544
3	40	129	3	18	1	1	1	0.556
3	41	132	3	22	1	1	1	0.599
3	42	135	3	33	1	1	1	0.493
3	43	138	3	36	1	1	1	1.081
3	44	141	3	21	1	2	0	1.233
3	45	144	NaN	NaN	NaN	NaN	NaN	NaN
3	46	147	NaN	NaN	NaN	NaN	NaN	NaN
3	47	150	NaN	NaN	NaN	NaN	NaN	NaN
3	48	153	NaN	NaN	NaN	NaN	NaN	NaN
3	49	156	1	36	1	1	1	0.613
3	50	159	1	22	1	1	1	0.577
3	51	162	1	22	2	2	1	0.741
3	52	165	1	9	1	1	1	0.571
3	53	168	1	11	1	1	1	0.471
3	54	171	1	7	1	1	1	0.523
3	55	174	1	19	1	1	1	0.643
3	56	177	1	39	1	1	1	0.546
3	57	180	NaN	NaN	NaN	NaN	NaN	NaN
3	58	183	NaN	NaN	NaN	NaN	NaN	NaN
3	59	186	NaN	NaN	NaN	NaN	NaN	NaN
3	60	189	NaN	NaN	NaN	NaN	NaN	NaN
3	61	192	2	20	1	1	1	0.641
3	62	195	2	31	1	1	1	0.574
3	63	198	2	56	1	1	1	0.623
3	64	201	2	46	1	1	1	0.897
3	65	204	2	61	1	1	1	0.512
3	66	207	2	61	2	2	1	0.604
3	67	210	2	32	1	1	1	0.568
3	68	213	2	40	1	1	1	0.639
3	69	216	NaN	NaN	NaN	NaN	NaN	NaN
3	70	219	NaN	NaN	NaN	NaN	NaN	NaN
3	71	222	NaN	NaN	NaN	NaN	NaN	NaN
3	72	225	NaN	NaN	NaN	NaN	NaN	NaN
3	73	228	1	1	1	1	1	1.000
3	74	231	1	21	1	1	1	0.435
3	75	234	1	43	1	1	1	0.535
3	76	237	1	43	2	2	1	0.568
3	77	240	1	31	1	1	1	0.478
3	78	243	1	26	1	1	1	0.405
3	79	246	1	37	1	1	1	0.374
3	80	249	1	2	1	1	1	0.430
3	81	252	NaN	NaN	NaN	NaN	NaN	NaN
3	82	255	NaN	NaN	NaN	NaN	NaN	NaN
3	83	258	NaN	NaN	NaN	NaN	NaN	NaN
3	84	261	NaN	NaN	NaN	NaN	NaN	NaN
3	85	264	3	29	1	1	1	0.383
3	86	267	3	57	1	1	1	0.421
3	87	270	3	38	1	1	1	0.428
3	88	273	3	46	1	1	1	0.481
3	89	276	3	55	1	1	1	0.640
3	90	279	3	47	1	1	1	0.572
3	91	282	3	16	1	1	1	1.269
3	92	285	3	16	2	2	1	0.758
3	93	288	NaN	NaN	NaN	NaN	NaN	NaN
3	94	291	NaN	NaN	NaN	NaN	NaN	NaN
3	95	294	NaN	NaN	NaN	NaN	NaN	NaN
3	96	297	NaN	NaN	NaN	NaN	NaN	NaN
3	97	300	2	4	1	1	1	0.626
3	98	303	2	9	1	1	1	0.475
3	99	306	2	42	1	1	1	0.976
3	100	309	2	38	1	1	1	0.693
3	101	312	2	38	2	2	1	0.684
3	102	315	2	6	1	1	1	0.580
3	103	318	2	1	1	1	1	0.575
3	104	321	2	3	1	1	1	0.629
3	105	324	NaN	NaN	NaN	NaN	NaN	NaN
3	106	327	NaN	NaN	NaN	NaN	NaN	NaN
3	107	330	NaN	NaN	NaN	NaN	NaN	NaN
3	108	333	NaN	NaN	NaN	NaN	NaN	NaN
