task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	6	0.700	2	2	1	0.485
2	1	2	16	9	0.300	1	1	1	0.313
2	1	3	20	10	0.450	1	1	1	0.281
2	1	4	24	8	0.600	2	2	1	0.256
2	1	5	28	2	0.550	1	1	1	0.345
2	1	6	32	11	0.100	2	2	1	0.322
2	1	7	36	3	0.850	1	1	1	0.352
2	1	8	40	4	0.800	1	1	1	0.318
2	1	9	44	1	0.650	2	2	1	0.292
2	1	10	48	12	0.850	1	1	1	0.352
2	1	11	52	5	0.450	1	1	1	0.374
2	1	12	56	7	0.550	1	1	1	0.359
2	1	13	60	NaN	NaN	NaN	NaN	NaN	NaN
2	1	14	64	NaN	NaN	NaN	NaN	NaN	NaN
2	1	15	68	1	0.700	2	2	1	0.316
2	1	16	72	NaN	NaN	NaN	NaN	NaN	NaN
2	1	17	76	7	0.650	2	2	1	0.310
2	1	18	80	NaN	NaN	NaN	NaN	NaN	NaN
2	1	19	84	4	0.400	1	1	1	0.350
2	1	20	88	11	0.550	2	2	1	0.324
2	1	21	92	8	0.400	2	2	1	0.474
2	1	22	96	10	0.450	2	2	1	0.380
2	1	23	100	3	0.550	1	1	1	0.401
2	1	24	104	6	0.850	1	1	1	0.310
2	1	25	108	NaN	NaN	NaN	NaN	NaN	NaN
2	1	26	112	9	0.650	2	2	1	0.227
2	1	27	116	2	0.250	1	1	1	0.314
2	1	28	120	5	0.650	2	2	1	0.304
2	1	29	124	12	0.500	1	1	1	0.445
2	1	30	128	12	0.500	2	2	1	0.396
2	1	31	132	6	0.400	2	2	1	0.434
2	1	32	136	1	0.600	2	2	1	0.419
2	1	33	140	2	0.100	2	2	1	0.489
2	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN
2	1	35	148	NaN	NaN	NaN	NaN	NaN	NaN
2	1	36	152	NaN	NaN	NaN	NaN	NaN	NaN
2	1	37	156	11	0.800	1	1	1	0.352
2	1	38	160	4	0.800	2	2	1	0.366
2	1	39	164	5	0.100	2	2	1	0.451
2	1	40	168	NaN	NaN	NaN	NaN	NaN	NaN
2	1	41	172	8	0.750	1	1	1	0.376
2	1	42	176	9	0.250	2	2	1	0.407
2	1	43	180	7	0.550	1	1	1	0.315
2	1	44	184	3	0.150	1	1	1	0.376
2	1	45	188	NaN	NaN	NaN	NaN	NaN	NaN
2	1	46	192	10	0.250	1	1	1	0.427
2	1	47	196	3	0.700	1	1	1	0.381
2	1	48	200	12	0.250	1	1	1	0.387
2	1	49	204	NaN	NaN	NaN	NaN	NaN	NaN
2	1	50	208	5	0.250	2	2	1	0.365
2	1	51	212	2	0.150	2	2	1	0.605
2	1	52	216	9	0.350	1	1	1	0.403
2	1	53	220	7	0.600	1	1	1	0.354
2	1	54	224	4	0.800	2	2	1	0.268
2	1	55	228	NaN	NaN	NaN	NaN	NaN	NaN
2	1	56	232	8	0.850	2	2	1	0.281
2	1	57	236	10	0.750	1	1	1	0.310
2	1	58	240	6	0.300	2	2	1	0.459
2	1	59	244	1	0.650	2	2	1	0.462
2	1	60	248	11	0.650	1	1	1	0.292
