onset	duration	node	response_time	accuracy
12	1	10	0.474	1
16	1	2	0.363	1
20	1	8	0.381	1
24	1	3	0.388	1
28	1	4	0.370	1
32	1	7	0.311	1
36	1	1	0.324	1
40	1	6	0.335	1
44	1	12	0.363	1
48	1	9	0.356	1
52	1	11	0.360	1
56	1	5	0.407	1
64	1	12	0.306	1
68	1	1	0.366	1
72	1	10	0.330	1
76	1	2	0.452	1
80	1	9	0.311	1
84	1	8	0.441	1
92	1	5	0.311	1
96	1	11	0.805	1
100	1	3	0.372	1
108	1	6	0.310	1
112	1	7	0.418	1
116	1	4	0.370	1
120	1	12	0.351	1
128	1	9	0.342	1
132	1	5	0.466	1
136	1	6	0.400	1
140	1	11	0.343	1
144	1	10	0.334	1
148	1	7	0.308	1
152	1	4	0.425	1
160	1	3	0.392	1
164	1	1	0.406	1
168	1	8	0.442	1
172	1	2	0.376	1
180	1	3	0.469	1
184	1	2	0.528	1
188	1	10	0.296	1
196	1	1	0.478	1
200	1	11	0.374	1
204	1	4	0.328	1
208	1	7	0.390	1
212	1	6	0.529	1
216	1	8	0.353	1
228	1	12	0.385	1
236	1	9	0.401	1
244	1	5	0.423	1
