onset	duration	stim_type	response_time	accuracy
12	3	1	1.437	1
15	3	1	0.716	1
18	3	1	0.655	1
21	3	1	0.672	1
24	3	1	0.789	1
27	3	1	0.832	1
30	3	1	0.751	1
33	3	1	0.869	1
48	3	3	0.573	1
51	3	3	0.761	1
54	3	3	0.552	1
57	3	3	1.216	0
60	3	3	0.758	1
63	3	3	0.885	1
66	3	3	1.100	1
69	3	3	1.028	1
84	3	2	0.603	1
87	3	2	0.646	1
90	3	2	0.668	1
93	3	2	0.667	1
96	3	2	0.550	1
99	3	2	0.592	1
102	3	2	0.697	1
105	3	2	0.608	1
120	3	2	0.409	1
123	3	2	0.614	1
126	3	2	0.675	1
129	3	2	0.499	1
132	3	2	0.487	1
135	3	2	0.703	1
138	3	2	0.539	1
141	3	2	0.575	1
156	3	1	1.098	1
159	3	1	0.640	1
162	3	1	0.696	1
165	3	1	0.613	1
168	3	1	0.539	1
171	3	1	0.625	1
174	3	1	0.453	1
177	3	1	0.507	1
192	3	3	0.916	1
195	3	3	0.577	1
198	3	3	0.550	1
201	3	3	0.558	1
204	3	3	0.349	1
207	3	3	0.546	1
210	3	3	0.522	1
213	3	3	0.803	1
228	3	1	0.604	1
231	3	1	0.607	1
234	3	1	0.479	1
237	3	1	0.534	1
240	3	1	0.678	1
243	3	1	0.409	1
246	3	1	0.622	1
249	3	1	0.918	1
264	3	3	0.612	1
267	3	3	0.514	1
270	3	3	0.394	0
273	3	3	0.606	1
276	3	3	0.670	1
279	3	3	0.744	1
282	3	3	0.623	1
285	3	3	0.635	1
300	3	2	0.710	1
303	3	2	0.450	1
306	3	2	0.714	1
309	3	2	0.529	1
312	3	2	0.656	1
315	3	2	0.790	1
318	3	2	0.650	1
321	3	2	0.553	1
