run	trial	onset	stimtype	itemnum	cresp	resp	acc	rt
3	1	12	2	20	1	1	1	0.768
3	2	15	2	31	1	1	1	0.458
3	3	18	2	14	1	1	1	0.444
3	4	21	2	30	1	1	1	0.421
3	5	24	2	21	1	1	1	0.398
3	6	27	2	50	1	1	1	0.513
3	7	30	2	55	1	1	1	0.360
3	8	33	2	55	2	2	1	0.501
3	9	36	NaN	NaN	NaN	NaN	NaN	NaN
3	10	39	NaN	NaN	NaN	NaN	NaN	NaN
3	11	42	NaN	NaN	NaN	NaN	NaN	NaN
3	12	45	NaN	NaN	NaN	NaN	NaN	NaN
3	13	48	1	54	1	1	1	0.488
3	14	51	1	4	1	1	1	0.467
3	15	54	1	47	1	1	1	0.447
3	16	57	1	10	1	1	1	0.455
3	17	60	1	10	2	2	1	0.460
3	18	63	1	48	1	1	1	0.537
3	19	66	1	26	1	1	1	0.515
3	20	69	1	9	1	1	1	0.745
3	21	72	NaN	NaN	NaN	NaN	NaN	NaN
3	22	75	NaN	NaN	NaN	NaN	NaN	NaN
3	23	78	NaN	NaN	NaN	NaN	NaN	NaN
3	24	81	NaN	NaN	NaN	NaN	NaN	NaN
3	25	84	3	42	1	1	1	0.650
3	26	87	3	47	1	1	1	0.470
3	27	90	3	25	1	1	1	0.463
3	28	93	3	35	1	2	0	0.569
3	29	96	3	13	1	1	1	0.445
3	30	99	3	13	2	2	1	0.576
3	31	102	3	34	1	1	1	0.473
3	32	105	3	15	1	1	1	0.667
3	33	108	NaN	NaN	NaN	NaN	NaN	NaN
3	34	111	NaN	NaN	NaN	NaN	NaN	NaN
3	35	114	NaN	NaN	NaN	NaN	NaN	NaN
3	36	117	NaN	NaN	NaN	NaN	NaN	NaN
3	37	120	2	56	1	1	1	0.561
3	38	123	2	26	1	1	1	0.488
3	39	126	2	24	1	1	1	0.438
3	40	129	2	4	1	1	1	0.674
3	41	132	2	28	1	1	1	0.666
3	42	135	2	11	1	1	1	0.394
3	43	138	2	23	1	1	1	0.381
3	44	141	2	23	2	2	1	0.564
3	45	144	NaN	NaN	NaN	NaN	NaN	NaN
3	46	147	NaN	NaN	NaN	NaN	NaN	NaN
3	47	150	NaN	NaN	NaN	NaN	NaN	NaN
3	48	153	NaN	NaN	NaN	NaN	NaN	NaN
3	49	156	3	56	1	1	1	0.507
3	50	159	3	37	1	1	1	0.431
3	51	162	3	29	1	1	1	0.437
3	52	165	3	50	1	1	1	0.388
3	53	168	3	27	1	1	1	0.370
3	54	171	3	27	2	2	1	0.544
3	55	174	3	4	1	1	1	0.461
3	56	177	3	10	1	1	1	0.378
3	57	180	NaN	NaN	NaN	NaN	NaN	NaN
3	58	183	NaN	NaN	NaN	NaN	NaN	NaN
3	59	186	NaN	NaN	NaN	NaN	NaN	NaN
3	60	189	NaN	NaN	NaN	NaN	NaN	NaN
3	61	192	1	61	1	1	1	0.606
3	62	195	1	32	1	1	1	0.538
3	63	198	1	31	1	1	1	0.535
3	64	201	1	37	1	1	1	0.521
3	65	204	1	37	2	2	1	0.550
3	66	207	1	8	1	1	1	0.369
3	67	210	1	36	1	1	1	0.405
3	68	213	1	27	1	1	1	0.449
3	69	216	NaN	NaN	NaN	NaN	NaN	NaN
3	70	219	NaN	NaN	NaN	NaN	NaN	NaN
3	71	222	NaN	NaN	NaN	NaN	NaN	NaN
3	72	225	NaN	NaN	NaN	NaN	NaN	NaN
3	73	228	3	19	1	1	1	0.640
3	74	231	3	6	1	1	1	0.520
3	75	234	3	36	1	1	1	0.705
3	76	237	3	36	2	2	1	0.500
3	77	240	3	28	1	1	1	0.554
3	78	243	3	60	1	1	1	0.573
3	79	246	3	31	1	1	1	0.475
3	80	249	3	18	1	1	1	0.452
3	81	252	NaN	NaN	NaN	NaN	NaN	NaN
3	82	255	NaN	NaN	NaN	NaN	NaN	NaN
3	83	258	NaN	NaN	NaN	NaN	NaN	NaN
3	84	261	NaN	NaN	NaN	NaN	NaN	NaN
3	85	264	2	10	1	1	1	0.587
3	86	267	2	12	1	1	1	0.619
3	87	270	2	40	1	1	1	0.579
3	88	273	2	39	1	1	1	0.627
3	89	276	2	3	1	1	1	0.404
3	90	279	2	9	1	1	1	0.631
3	91	282	2	9	2	2	1	0.638
3	92	285	2	51	1	1	1	0.506
3	93	288	NaN	NaN	NaN	NaN	NaN	NaN
3	94	291	NaN	NaN	NaN	NaN	NaN	NaN
3	95	294	NaN	NaN	NaN	NaN	NaN	NaN
3	96	297	NaN	NaN	NaN	NaN	NaN	NaN
3	97	300	1	16	1	1	1	0.588
3	98	303	1	55	1	1	1	0.519
3	99	306	1	55	2	2	1	0.656
3	100	309	1	24	1	1	1	0.429
3	101	312	1	3	1	1	1	0.469
3	102	315	1	40	1	1	1	0.523
3	103	318	1	50	1	1	1	0.501
3	104	321	1	5	1	1	1	0.450
3	105	324	NaN	NaN	NaN	NaN	NaN	NaN
3	106	327	NaN	NaN	NaN	NaN	NaN	NaN
3	107	330	NaN	NaN	NaN	NaN	NaN	NaN
3	108	333	NaN	NaN	NaN	NaN	NaN	NaN
