task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	3	1	12	3	0.150	2	2	1	0.647
1	3	2	16	1	0.450	2	2	1	0.393
1	3	3	20	7	0.600	1	1	1	0.328
1	3	4	24	9	0.700	1	1	1	0.332
1	3	5	28	10	0.100	1	1	1	0.354
1	3	6	32	6	0.450	1	1	1	0.251
1	3	7	36	5	0.550	2	2	1	0.341
1	3	8	40	4	0.750	2	2	1	0.273
1	3	9	44	11	0.550	2	2	1	0.266
1	3	10	48	2	0.500	2	2	1	0.258
1	3	11	52	8	0.300	2	2	1	0.317
1	3	12	56	12	0.600	2	2	1	0.254
1	3	13	60	3	0.100	2	2	1	0.324
1	3	14	64	4	0.450	1	1	1	0.351
1	3	15	68	NaN	NaN	NaN	NaN	NaN	NaN
1	3	16	72	10	0.100	1	1	1	0.544
1	3	17	76	6	0.100	1	1	1	0.411
1	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN
1	3	19	84	1	0.500	2	2	1	0.291
1	3	20	88	NaN	NaN	NaN	NaN	NaN	NaN
1	3	21	92	5	0.250	1	1	1	0.289
1	3	22	96	8	0.550	1	1	1	0.342
1	3	23	100	NaN	NaN	NaN	NaN	NaN	NaN
1	3	24	104	11	0.600	2	2	1	0.322
1	3	25	108	2	0.600	2	2	1	0.440
1	3	26	112	7	0.600	1	1	1	0.365
1	3	27	116	12	0.550	1	1	1	0.309
1	3	28	120	9	0.100	1	1	1	0.376
1	3	29	124	12	0.850	1	1	1	0.365
1	3	30	128	9	0.900	1	1	1	0.329
1	3	31	132	1	0.350	1	1	1	0.278
1	3	32	136	NaN	NaN	NaN	NaN	NaN	NaN
1	3	33	140	NaN	NaN	NaN	NaN	NaN	NaN
1	3	34	144	NaN	NaN	NaN	NaN	NaN	NaN
1	3	35	148	11	0.250	1	1	1	0.413
1	3	36	152	7	0.850	1	1	1	0.338
1	3	37	156	8	0.350	1	1	1	0.314
1	3	38	160	2	0.300	1	1	1	0.237
1	3	39	164	5	0.400	2	2	1	0.401
1	3	40	168	3	0.550	2	2	1	0.243
1	3	41	172	NaN	NaN	NaN	NaN	NaN	NaN
1	3	42	176	4	0.250	2	2	1	0.258
1	3	43	180	10	0.150	2	2	1	0.362
1	3	44	184	NaN	NaN	NaN	NaN	NaN	NaN
1	3	45	188	NaN	NaN	NaN	NaN	NaN	NaN
1	3	46	192	6	0.500	2	2	1	0.323
1	3	47	196	11	0.200	1	1	1	0.370
1	3	48	200	NaN	NaN	NaN	NaN	NaN	NaN
1	3	49	204	NaN	NaN	NaN	NaN	NaN	NaN
1	3	50	208	4	0.150	2	2	1	0.406
1	3	51	212	7	0.650	1	1	1	0.417
1	3	52	216	1	0.100	2	2	1	0.469
1	3	53	220	8	0.250	1	1	1	0.512
1	3	54	224	12	0.200	1	1	1	0.336
1	3	55	228	10	0.200	2	2	1	0.470
1	3	56	232	9	0.150	2	2	1	0.391
1	3	57	236	2	0.550	2	2	1	0.284
1	3	58	240	3	0.450	2	2	1	0.276
1	3	59	244	5	0.500	1	1	1	0.319
1	3	60	248	6	0.600	2	2	1	0.247
