onset	duration	node	response_time	accuracy
12	1	12	0.563	1
20	1	7	0.348	1
24	1	6	0.307	0
28	1	1	0.464	1
32	1	5	0.533	1
36	1	9	0.518	1
40	1	10	0.328	1
44	1	2	0.266	1
56	1	3	0.398	1
60	1	11	0.313	1
64	1	4	0.355	1
72	1	8	0.471	1
76	1	1	0.672	1
80	1	6	0.319	1
88	1	4	0.370	1
92	1	3	0.354	1
96	1	7	0.477	1
100	1	5	0.490	1
104	1	10	0.323	1
108	1	2	0.510	1
112	1	11	0.760	1
116	1	8	0.434	1
120	1	12	0.438	1
124	1	9	0.323	1
128	1	4	0.338	1
132	1	11	0.317	1
140	1	10	0.474	1
152	1	1	0.555	1
156	1	7	0.420	1
160	1	5	0.608	1
164	1	2	0.345	1
172	1	9	0.333	1
176	1	8	0.267	1
184	1	3	0.255	1
188	1	6	0.310	1
192	1	12	0.375	1
196	1	5	0.417	1
200	1	2	0.343	1
204	1	8	0.287	1
208	1	10	0.417	1
212	1	6	0.312	1
216	1	12	0.337	1
224	1	9	0.407	1
228	1	3	0.364	1
232	1	1	0.273	1
236	1	4	0.251	1
240	1	7	0.294	1
248	1	11	0.340	1
