task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	7	0.250	2	2	1	0.411
1	2	2	16	NaN	NaN	NaN	NaN	NaN	NaN
1	2	3	20	4	0.300	2	2	1	0.393
1	2	4	24	13	0.500	2	2	1	0.342
1	2	5	28	10	0.250	2	2	1	0.352
1	2	6	32	9	0.350	1	1	1	0.415
1	2	7	36	12	0.150	2	2	1	0.455
1	2	8	40	2	0.300	2	2	1	0.269
1	2	9	44	NaN	NaN	NaN	NaN	NaN	NaN
1	2	10	48	6	0.500	1	1	1	0.277
1	2	11	52	5	0.150	1	1	1	0.334
1	2	12	56	11	0.650	1	2	0	0.222
1	2	13	60	8	0.550	2	2	1	0.471
1	2	14	64	3	0.100	2	2	1	0.434
1	2	15	68	NaN	NaN	NaN	NaN	NaN	NaN
1	2	16	72	NaN	NaN	NaN	NaN	NaN	NaN
1	2	17	76	1	0.900	2	2	1	0.443
1	2	18	80	2	0.800	1	1	1	0.276
1	2	19	84	9	0.650	2	2	1	0.309
1	2	20	88	7	0.750	1	1	1	0.483
1	2	21	92	3	0.100	2	2	1	0.480
1	2	22	96	1	0.550	2	2	1	0.311
1	2	23	100	5	0.900	2	2	1	0.330
1	2	24	104	13	0.700	1	1	1	0.355
1	2	25	108	NaN	NaN	NaN	NaN	NaN	NaN
1	2	26	112	4	0.200	1	1	1	0.415
1	2	27	116	NaN	NaN	NaN	NaN	NaN	NaN
1	2	28	120	12	0.150	1	1	1	0.335
1	2	29	124	NaN	NaN	NaN	NaN	NaN	NaN
1	2	30	128	8	0.300	1	1	1	0.398
1	2	31	132	6	0.900	2	2	1	0.330
1	2	32	136	10	0.450	1	1	1	0.346
1	2	33	140	11	0.850	2	2	1	0.340
1	2	34	144	5	0.450	1	1	1	0.267
1	2	35	148	12	0.300	1	1	1	0.315
1	2	36	152	13	0.400	1	1	1	0.355
1	2	37	156	6	0.600	1	1	1	0.271
1	2	38	160	NaN	NaN	NaN	NaN	NaN	NaN
1	2	39	164	9	0.700	2	2	1	0.366
1	2	40	168	1	0.300	1	1	1	0.292
1	2	41	172	7	0.300	1	1	1	0.275
1	2	42	176	10	0.550	1	1	1	0.509
1	2	43	180	11	0.400	2	2	1	0.269
1	2	44	184	4	0.900	1	1	1	0.304
1	2	45	188	2	0.400	1	1	1	0.468
1	2	46	192	3	0.150	2	2	1	0.301
1	2	47	196	8	0.400	2	2	1	0.341
1	2	48	200	13	0.800	2	2	1	0.323
1	2	49	204	3	0.300	1	1	1	0.354
1	2	50	208	2	0.650	1	1	1	0.455
1	2	51	212	12	0.300	2	2	1	0.368
1	2	52	216	10	0.800	2	1	0	0.420
1	2	53	220	5	0.600	2	2	1	0.417
1	2	54	224	11	0.250	1	1	1	0.407
1	2	55	228	1	0.200	1	1	1	0.323
1	2	56	232	7	0.700	2	2	1	0.284
1	2	57	236	NaN	NaN	NaN	NaN	NaN	NaN
1	2	58	240	8	0.550	1	1	1	0.311
1	2	59	244	NaN	NaN	NaN	NaN	NaN	NaN
1	2	60	248	4	0.300	2	2	1	0.369
1	2	61	252	NaN	NaN	NaN	NaN	NaN	NaN
1	2	62	256	NaN	NaN	NaN	NaN	NaN	NaN
1	2	63	260	9	0.450	1	1	1	0.395
1	2	64	264	6	0.750	2	2	1	0.326
1	2	65	268	NaN	NaN	NaN	NaN	NaN	NaN
