task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	5	0.450	1	1	1	0.423
1	2	2	16	3	0.500	1	1	1	0.372
1	2	3	20	6	0.750	2	2	1	0.285
1	2	4	24	10	0.650	1	1	1	0.386
1	2	5	28	8	0.100	2	2	1	0.451
1	2	6	32	12	0.500	2	2	1	0.374
1	2	7	36	1	0.600	2	2	1	0.336
1	2	8	40	13	0.150	2	2	1	0.492
1	2	9	44	NaN	NaN	NaN	NaN	NaN	NaN
1	2	10	48	9	0.600	2	2	1	0.385
1	2	11	52	7	0.450	1	1	1	0.350
1	2	12	56	NaN	NaN	NaN	NaN	NaN	NaN
1	2	13	60	2	0.600	2	2	1	0.313
1	2	14	64	NaN	NaN	NaN	NaN	NaN	NaN
1	2	15	68	NaN	NaN	NaN	NaN	NaN	NaN
1	2	16	72	4	0.650	2	2	1	0.397
1	2	17	76	11	0.650	2	2	1	0.386
1	2	18	80	6	0.250	2	2	1	0.403
1	2	19	84	8	0.750	1	1	1	0.424
1	2	20	88	11	0.800	2	2	1	0.369
1	2	21	92	1	0.450	1	1	1	0.359
1	2	22	96	2	0.350	1	1	1	0.366
1	2	23	100	10	0.200	1	1	1	0.408
1	2	24	104	12	0.750	2	2	1	0.383
1	2	25	108	4	0.700	2	2	1	0.354
1	2	26	112	NaN	NaN	NaN	NaN	NaN	NaN
1	2	27	116	9	0.150	2	2	1	0.426
1	2	28	120	3	0.300	2	2	1	0.368
1	2	29	124	NaN	NaN	NaN	NaN	NaN	NaN
1	2	30	128	13	0.100	1	1	1	0.564
1	2	31	132	5	0.350	1	1	1	0.295
1	2	32	136	7	0.100	2	2	1	0.471
1	2	33	140	NaN	NaN	NaN	NaN	NaN	NaN
1	2	34	144	13	0.600	2	2	1	0.448
1	2	35	148	11	0.650	2	2	1	0.389
1	2	36	152	NaN	NaN	NaN	NaN	NaN	NaN
1	2	37	156	7	0.400	1	1	1	0.363
1	2	38	160	5	0.300	2	2	1	0.733
1	2	39	164	6	0.850	1	1	1	0.351
1	2	40	168	1	0.450	2	2	1	0.366
1	2	41	172	9	0.800	1	1	1	0.343
1	2	42	176	4	0.200	1	1	1	0.339
1	2	43	180	8	0.850	2	2	1	0.266
1	2	44	184	NaN	NaN	NaN	NaN	NaN	NaN
1	2	45	188	10	0.150	1	1	1	0.443
1	2	46	192	3	0.350	1	1	1	0.464
1	2	47	196	NaN	NaN	NaN	NaN	NaN	NaN
1	2	48	200	12	0.750	1	2	0	0.523
1	2	49	204	2	0.150	2	2	1	0.429
1	2	50	208	NaN	NaN	NaN	NaN	NaN	NaN
1	2	51	212	9	0.800	1	1	1	0.319
1	2	52	216	NaN	NaN	NaN	NaN	NaN	NaN
1	2	53	220	7	0.900	1	1	1	0.418
1	2	54	224	6	0.800	1	1	1	0.359
1	2	55	228	10	0.700	2	2	1	0.271
1	2	56	232	12	0.800	2	2	1	0.383
1	2	57	236	2	0.250	1	1	1	0.323
1	2	58	240	5	0.700	1	1	1	0.401
1	2	59	244	4	0.500	1	1	1	0.366
1	2	60	248	3	0.250	2	2	1	0.445
1	2	61	252	8	0.500	1	1	1	0.353
1	2	62	256	13	0.350	1	1	1	0.385
1	2	63	260	NaN	NaN	NaN	NaN	NaN	NaN
1	2	64	264	11	0.650	1	1	1	0.404
1	2	65	268	1	0.500	2	2	1	0.324
