onset	duration	node	response_time	accuracy
12	1	6	0.467	0
16	1	9	0.403	1
20	1	10	0.247	1
24	1	13	0.282	0
28	1	8	0.294	1
32	1	2	0.252	1
40	1	11	0.294	1
44	1	3	0.338	1
48	1	4	0.370	1
52	1	1	0.260	1
56	1	12	0.389	1
60	1	5	0.392	1
64	1	7	0.366	1
68	1	12	0.325	1
72	1	13	0.274	1
76	1	6	0.380	1
88	1	3	0.270	1
92	1	10	0.410	1
96	1	7	0.288	1
100	1	9	0.315	1
104	1	2	0.347	1
108	1	5	0.378	1
112	1	8	0.324	1
116	1	1	0.418	1
124	1	4	0.303	0
128	1	11	0.390	1
140	1	13	0.476	1
152	1	10	0.361	1
156	1	4	0.395	1
160	1	12	0.342	1
164	1	9	0.473	1
172	1	2	0.446	1
176	1	3	0.381	1
180	1	6	0.312	1
184	1	7	0.403	1
188	1	5	0.392	1
192	1	1	0.330	1
196	1	8	0.452	1
204	1	11	0.377	1
208	1	9	0.423	1
212	1	11	0.322	1
216	1	2	0.393	1
220	1	12	0.274	1
224	1	6	0.368	1
232	1	4	0.395	1
236	1	1	0.387	1
240	1	13	0.398	1
244	1	5	0.320	1
248	1	7	0.378	1
260	1	10	0.348	1
264	1	3	0.397	1
268	1	8	0.356	1
