task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	12	0.500	1	1	1	0.490
2	1	2	16	13	0.550	2	2	1	0.272
2	1	3	20	8	0.550	2	2	1	0.361
2	1	4	24	11	0.350	1	1	1	0.296
2	1	5	28	3	0.300	1	1	1	0.431
2	1	6	32	2	0.250	2	2	1	0.408
2	1	7	36	10	0.700	2	2	1	0.258
2	1	8	40	1	0.150	1	1	1	0.407
2	1	9	44	6	0.850	1	1	1	0.356
2	1	10	48	4	0.800	1	1	1	0.614
2	1	11	52	9	0.900	1	1	1	0.376
2	1	12	56	NaN	NaN	NaN	NaN	NaN	NaN
2	1	13	60	5	0.650	2	2	1	0.263
2	1	14	64	NaN	NaN	NaN	NaN	NaN	NaN
2	1	15	68	NaN	NaN	NaN	NaN	NaN	NaN
2	1	16	72	7	0.700	2	2	1	0.400
2	1	17	76	13	0.850	2	2	1	0.294
2	1	18	80	3	0.600	1	1	1	0.354
2	1	19	84	12	0.200	2	2	1	0.360
2	1	20	88	7	0.800	1	1	1	0.477
2	1	21	92	NaN	NaN	NaN	NaN	NaN	NaN
2	1	22	96	2	0.500	2	2	1	0.324
2	1	23	100	9	0.150	1	1	1	0.540
2	1	24	104	NaN	NaN	NaN	NaN	NaN	NaN
2	1	25	108	6	0.150	2	2	1	0.424
2	1	26	112	11	0.250	2	2	1	0.462
2	1	27	116	NaN	NaN	NaN	NaN	NaN	NaN
2	1	28	120	10	0.600	2	2	1	0.416
2	1	29	124	8	0.150	1	1	1	0.501
2	1	30	128	4	0.900	2	2	1	0.513
2	1	31	132	NaN	NaN	NaN	NaN	NaN	NaN
2	1	32	136	5	0.300	1	1	1	0.469
2	1	33	140	NaN	NaN	NaN	NaN	NaN	NaN
2	1	34	144	1	0.100	1	1	1	0.488
2	1	35	148	12	0.500	1	1	1	0.396
2	1	36	152	13	0.250	1	1	1	0.412
2	1	37	156	11	0.800	1	1	1	0.507
2	1	38	160	3	0.300	2	2	1	0.375
2	1	39	164	NaN	NaN	NaN	NaN	NaN	NaN
2	1	40	168	8	0.100	1	1	1	0.451
2	1	41	172	9	0.550	2	2	1	0.342
2	1	42	176	7	0.500	2	2	1	0.325
2	1	43	180	6	0.700	2	2	1	0.407
2	1	44	184	10	0.850	2	2	1	0.398
2	1	45	188	4	0.450	1	1	1	0.424
2	1	46	192	2	0.550	1	1	1	0.387
2	1	47	196	1	0.650	1	1	1	0.383
2	1	48	200	NaN	NaN	NaN	NaN	NaN	NaN
2	1	49	204	5	0.450	2	2	1	0.301
2	1	50	208	NaN	NaN	NaN	NaN	NaN	NaN
2	1	51	212	4	0.800	2	2	1	0.294
2	1	52	216	11	0.250	1	1	1	0.479
2	1	53	220	2	0.350	1	1	1	0.423
2	1	54	224	8	0.400	2	2	1	0.388
2	1	55	228	NaN	NaN	NaN	NaN	NaN	NaN
2	1	56	232	12	0.400	1	1	1	0.317
2	1	57	236	10	0.300	2	2	1	0.387
2	1	58	240	6	0.350	2	2	1	0.443
2	1	59	244	13	0.250	1	1	1	0.535
2	1	60	248	1	0.900	2	2	1	0.529
2	1	61	252	5	0.800	2	2	1	0.406
2	1	62	256	3	0.700	1	1	1	0.413
2	1	63	260	9	0.650	1	1	1	0.421
2	1	64	264	7	0.850	2	2	1	0.411
2	1	65	268	NaN	NaN	NaN	NaN	NaN	NaN
