onset	duration	node	response_time	accuracy
12	1	1	0.445	1
16	1	9	0.389	1
20	1	10	0.454	1
24	1	11	0.373	1
28	1	6	0.272	1
32	1	7	0.271	1
36	1	5	0.334	1
40	1	4	0.414	1
44	1	3	0.372	1
48	1	12	0.340	1
56	1	13	0.487	1
60	1	2	0.364	1
64	1	8	0.366	1
68	1	10	0.435	1
72	1	6	0.407	1
80	1	9	0.316	1
84	1	12	0.324	1
88	1	13	0.460	1
92	1	1	0.329	1
104	1	7	0.437	1
108	1	5	0.344	1
112	1	2	0.567	1
116	1	8	0.395	1
120	1	11	0.331	1
132	1	4	0.451	1
136	1	3	0.347	1
140	1	2	0.419	1
144	1	10	0.401	1
148	1	12	0.341	1
156	1	3	0.475	1
160	1	13	0.400	1
164	1	11	0.448	1
168	1	5	0.399	1
180	1	6	0.389	1
184	1	1	0.317	1
192	1	8	0.452	1
196	1	9	0.405	1
200	1	4	0.438	1
204	1	7	0.396	1
208	1	9	0.394	1
212	1	8	0.433	1
216	1	4	0.478	1
220	1	5	0.407	1
224	1	7	0.433	1
228	1	12	0.426	1
232	1	3	0.318	1
244	1	2	0.356	1
248	1	11	0.446	1
252	1	13	0.378	1
256	1	1	0.394	1
260	1	10	0.277	1
264	1	6	0.370	1
