onset	duration	node	response_time	accuracy
12	1	12	0.326	1
20	1	8	0.392	1
24	1	9	0.376	1
28	1	6	0.336	1
32	1	13	0.388	1
36	1	7	0.364	1
40	1	10	0.347	1
44	1	1	0.315	1
48	1	4	0.298	1
52	1	11	0.498	1
56	1	3	0.356	1
60	1	5	0.350	1
68	1	2	0.267	1
72	1	12	0.395	1
80	1	11	0.267	1
84	1	13	0.322	1
92	1	10	0.266	1
108	1	3	0.311	1
112	1	1	0.329	1
116	1	5	0.290	0
120	1	6	0.371	1
124	1	7	0.528	1
128	1	4	0.499	1
132	1	9	0.401	1
136	1	8	0.415	1
140	1	2	0.405	1
144	1	4	0.305	1
156	1	10	0.414	1
160	1	11	0.500	1
164	1	9	0.390	1
172	1	1	0.371	1
176	1	5	0.384	1
180	1	6	0.331	1
184	1	2	0.406	1
188	1	12	0.271	0
192	1	7	0.291	1
196	1	13	0.342	1
200	1	3	0.406	1
208	1	8	0.365	1
212	1	9	0.377	1
220	1	5	0.327	1
224	1	3	0.491	1
228	1	6	0.300	1
232	1	7	0.349	1
236	1	12	0.291	1
240	1	4	0.291	1
248	1	10	0.531	1
252	1	13	0.304	1
256	1	8	0.345	1
260	1	11	0.343	1
264	1	2	0.256	1
268	1	1	0.292	1
