task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	3	1	12	9	0.550	1	1	1	0.357
1	3	2	16	4	0.500	1	1	1	0.289
1	3	3	20	2	0.200	2	2	1	0.434
1	3	4	24	13	0.800	1	1	1	0.502
1	3	5	28	7	0.850	1	1	1	0.433
1	3	6	32	12	0.750	1	1	1	0.307
1	3	7	36	1	0.150	2	2	1	0.317
1	3	8	40	NaN	NaN	NaN	NaN	NaN	NaN
1	3	9	44	8	0.650	2	2	1	0.824
1	3	10	48	10	0.300	1	1	1	0.419
1	3	11	52	11	0.550	2	2	1	0.308
1	3	12	56	6	0.300	2	2	1	0.381
1	3	13	60	5	0.800	1	1	1	0.276
1	3	14	64	3	0.900	1	1	1	0.309
1	3	15	68	NaN	NaN	NaN	NaN	NaN	NaN
1	3	16	72	NaN	NaN	NaN	NaN	NaN	NaN
1	3	17	76	5	0.350	1	1	1	0.354
1	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN
1	3	19	84	2	0.900	1	1	1	0.340
1	3	20	88	9	0.250	2	2	1	0.332
1	3	21	92	NaN	NaN	NaN	NaN	NaN	NaN
1	3	22	96	10	0.750	1	1	1	0.298
1	3	23	100	13	0.200	1	1	1	0.335
1	3	24	104	NaN	NaN	NaN	NaN	NaN	NaN
1	3	25	108	6	0.550	2	2	1	0.375
1	3	26	112	11	0.150	2	2	1	0.634
1	3	27	116	1	0.550	2	2	1	0.400
1	3	28	120	NaN	NaN	NaN	NaN	NaN	NaN
1	3	29	124	3	0.650	1	1	1	0.398
1	3	30	128	7	0.600	1	1	1	0.359
1	3	31	132	12	0.200	2	2	1	0.438
1	3	32	136	8	0.850	1	1	1	0.279
1	3	33	140	4	0.750	1	1	1	0.536
1	3	34	144	8	0.450	2	2	1	0.343
1	3	35	148	NaN	NaN	NaN	NaN	NaN	NaN
1	3	36	152	NaN	NaN	NaN	NaN	NaN	NaN
1	3	37	156	13	0.450	1	1	1	0.333
1	3	38	160	1	0.550	1	1	1	0.301
1	3	39	164	12	0.300	2	1	0	0.367
1	3	40	168	NaN	NaN	NaN	NaN	NaN	NaN
1	3	41	172	4	0.850	2	2	1	0.306
1	3	42	176	5	0.600	2	2	1	0.362
1	3	43	180	11	0.400	1	1	1	0.559
1	3	44	184	NaN	NaN	NaN	NaN	NaN	NaN
1	3	45	188	7	0.350	1	1	1	0.371
1	3	46	192	2	0.400	2	2	1	0.313
1	3	47	196	10	0.200	2	2	1	0.586
1	3	48	200	6	0.100	2	2	1	0.441
1	3	49	204	9	0.500	1	1	1	0.445
1	3	50	208	3	0.800	2	2	1	0.354
1	3	51	212	8	0.750	2	2	1	0.441
1	3	52	216	6	0.800	2	2	1	0.434
1	3	53	220	3	0.250	1	1	1	0.353
1	3	54	224	13	0.750	1	1	1	0.398
1	3	55	228	7	0.700	1	1	1	0.445
1	3	56	232	2	0.550	1	2	0	0.378
1	3	57	236	12	0.250	2	2	1	0.460
1	3	58	240	1	0.550	2	2	1	0.351
1	3	59	244	5	0.250	2	2	1	0.406
1	3	60	248	10	0.400	2	2	1	0.378
1	3	61	252	4	0.900	1	1	1	0.321
1	3	62	256	NaN	NaN	NaN	NaN	NaN	NaN
1	3	63	260	11	0.250	2	2	1	0.428
1	3	64	264	9	0.250	2	2	1	0.361
1	3	65	268	NaN	NaN	NaN	NaN	NaN	NaN
