onset	duration	node	response_time	accuracy
12	1	7	0.411	1
20	1	4	0.393	1
24	1	13	0.342	1
28	1	10	0.352	1
32	1	9	0.415	1
36	1	12	0.455	1
40	1	2	0.269	1
48	1	6	0.277	1
52	1	5	0.334	1
56	1	11	0.222	0
60	1	8	0.471	1
64	1	3	0.434	1
76	1	1	0.443	1
80	1	2	0.276	1
84	1	9	0.309	1
88	1	7	0.483	1
92	1	3	0.480	1
96	1	1	0.311	1
100	1	5	0.330	1
104	1	13	0.355	1
112	1	4	0.415	1
120	1	12	0.335	1
128	1	8	0.398	1
132	1	6	0.330	1
136	1	10	0.346	1
140	1	11	0.340	1
144	1	5	0.267	1
148	1	12	0.315	1
152	1	13	0.355	1
156	1	6	0.271	1
164	1	9	0.366	1
168	1	1	0.292	1
172	1	7	0.275	1
176	1	10	0.509	1
180	1	11	0.269	1
184	1	4	0.304	1
188	1	2	0.468	1
192	1	3	0.301	1
196	1	8	0.341	1
200	1	13	0.323	1
204	1	3	0.354	1
208	1	2	0.455	1
212	1	12	0.368	1
216	1	10	0.420	0
220	1	5	0.417	1
224	1	11	0.407	1
228	1	1	0.323	1
232	1	7	0.284	1
240	1	8	0.311	1
248	1	4	0.369	1
260	1	9	0.395	1
264	1	6	0.326	1
