task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	3	0.400	1	1	1	0.399
1	2	2	16	NaN	NaN	NaN	NaN	NaN	NaN
1	2	3	20	4	0.850	2	2	1	0.303
1	2	4	24	2	0.550	2	2	1	0.496
1	2	5	28	5	0.700	1	1	1	0.399
1	2	6	32	NaN	NaN	NaN	NaN	NaN	NaN
1	2	7	36	11	0.750	2	2	1	0.317
1	2	8	40	NaN	NaN	NaN	NaN	NaN	NaN
1	2	9	44	NaN	NaN	NaN	NaN	NaN	NaN
1	2	10	48	7	0.350	1	1	1	0.497
1	2	11	52	NaN	NaN	NaN	NaN	NaN	NaN
1	2	12	56	9	0.250	2	2	1	0.376
1	2	13	60	8	0.200	2	2	1	0.519
1	2	14	64	10	0.650	2	2	1	0.405
1	2	15	68	13	0.300	1	1	1	0.472
1	2	16	72	12	0.850	1	1	1	0.445
1	2	17	76	6	0.200	1	1	1	0.369
1	2	18	80	NaN	NaN	NaN	NaN	NaN	NaN
1	2	19	84	NaN	NaN	NaN	NaN	NaN	NaN
1	2	20	88	NaN	NaN	NaN	NaN	NaN	NaN
1	2	21	92	1	0.850	2	2	1	0.451
1	2	22	96	10	0.750	2	2	1	0.318
1	2	23	100	11	0.550	1	1	1	0.483
1	2	24	104	3	0.700	2	2	1	0.411
1	2	25	108	6	0.450	2	2	1	0.319
1	2	26	112	7	0.100	2	2	1	0.377
1	2	27	116	12	0.100	2	2	1	0.369
1	2	28	120	1	0.900	1	1	1	0.403
1	2	29	124	4	0.650	1	1	1	0.326
1	2	30	128	9	0.850	1	1	1	0.380
1	2	31	132	13	0.550	1	1	1	0.344
1	2	32	136	2	0.150	2	1	0	0.290
1	2	33	140	5	0.700	1	1	1	0.414
1	2	34	144	8	0.500	2	2	1	0.317
1	2	35	148	2	0.800	1	1	1	0.379
1	2	36	152	6	0.350	2	2	1	0.349
1	2	37	156	9	0.500	1	1	1	0.452
1	2	38	160	3	0.450	2	2	1	0.347
1	2	39	164	10	0.250	2	2	1	0.381
1	2	40	168	NaN	NaN	NaN	NaN	NaN	NaN
1	2	41	172	5	0.800	1	1	1	0.453
1	2	42	176	1	0.250	1	1	1	0.403
1	2	43	180	7	0.600	1	1	1	0.417
1	2	44	184	13	0.900	2	2	1	0.457
1	2	45	188	12	0.550	1	1	1	0.427
1	2	46	192	8	0.350	1	1	1	0.391
1	2	47	196	4	0.550	1	1	1	0.391
1	2	48	200	11	0.250	2	2	1	0.413
1	2	49	204	7	0.150	2	2	1	0.467
1	2	50	208	4	0.700	2	2	1	0.380
1	2	51	212	6	0.700	1	1	1	0.388
1	2	52	216	11	0.300	2	2	1	0.297
1	2	53	220	NaN	NaN	NaN	NaN	NaN	NaN
1	2	54	224	NaN	NaN	NaN	NaN	NaN	NaN
1	2	55	228	3	0.600	1	1	1	0.448
1	2	56	232	1	0.550	2	2	1	0.347
1	2	57	236	2	0.150	2	2	1	0.348
1	2	58	240	8	0.650	2	2	1	0.367
1	2	59	244	10	0.550	1	1	1	0.411
1	2	60	248	13	0.900	1	1	1	0.457
1	2	61	252	NaN	NaN	NaN	NaN	NaN	NaN
1	2	62	256	9	0.650	1	1	1	0.454
1	2	63	260	12	0.300	1	1	1	0.427
1	2	64	264	NaN	NaN	NaN	NaN	NaN	NaN
1	2	65	268	5	0.150	2	2	1	0.533
