onset	duration	node	response_time	accuracy
12	1	2	0.525	1
16	1	10	0.422	1
20	1	5	0.418	1
24	1	7	0.387	1
28	1	9	0.466	1
32	1	3	0.394	1
36	1	12	0.342	1
44	1	1	0.400	1
52	1	13	0.423	1
60	1	4	0.435	1
64	1	6	0.408	1
68	1	11	0.312	1
76	1	8	0.306	1
80	1	10	0.553	1
84	1	7	0.371	1
88	1	13	0.301	1
92	1	5	0.338	1
96	1	12	0.409	1
100	1	2	0.297	1
104	1	4	0.350	1
108	1	1	0.441	1
112	1	8	0.379	1
116	1	6	0.380	1
120	1	11	0.420	1
124	1	3	0.470	1
128	1	9	0.424	1
132	1	7	0.385	1
136	1	2	0.401	1
140	1	8	0.302	1
144	1	6	0.317	1
148	1	4	0.358	1
152	1	13	0.723	1
160	1	9	0.502	1
164	1	10	0.387	1
168	1	1	0.360	1
172	1	3	0.455	1
180	1	11	0.452	1
184	1	12	0.382	1
188	1	5	0.405	1
196	1	4	0.565	1
200	1	10	0.430	1
204	1	8	0.516	1
208	1	6	0.462	1
212	1	12	0.356	1
216	1	9	0.417	1
228	1	2	0.439	1
232	1	11	0.377	1
236	1	3	0.390	1
248	1	13	0.584	1
256	1	1	0.388	1
260	1	5	0.472	1
264	1	7	0.516	1
