task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	3	1	12	6	0.400	2	2	1	0.353	1882599.864	1882600.272	1882600.861	1882600.865
2	3	2	16	4	0.550	1	1	1	0.490	1882603.882	1882604.421	1882604.868	1882604.872
2	3	3	20	NaN	NaN	NaN	NaN	NaN	NaN	1882607.891	NaN	NaN	NaN
2	3	4	24	7	0.900	1	1	1	0.489	1882611.861	1882612.767	1882612.868	1882612.871
2	3	5	28	12	0.700	1	1	1	0.387	1882615.892	1882616.568	1882616.863	1882616.869
2	3	6	32	13	0.800	2	2	1	0.443	1882619.878	1882620.671	1882620.873	1882620.878
2	3	7	36	10	0.900	1	1	1	0.457	1882623.880	1882624.764	1882624.881	1882624.886
2	3	8	40	3	0.700	1	1	1	0.495	1882627.879	1882628.580	1882628.863	1882628.868
2	3	9	44	9	0.900	2	2	1	0.491	1882631.888	1882632.765	1882632.880	1882632.885
2	3	10	48	2	0.550	1	1	1	0.488	1882635.903	1882636.418	1882636.870	1882636.879
2	3	11	52	1	0.550	1	1	1	0.541	1882639.897	1882640.426	1882640.865	1882640.870
2	3	12	56	8	0.900	1	1	1	0.474	1882643.886	1882644.791	1882644.863	1882644.867
2	3	13	60	5	0.750	2	2	1	0.429	1882647.884	1882648.636	1882648.870	1882648.879
2	3	14	64	NaN	NaN	NaN	NaN	NaN	NaN	1882651.885	NaN	NaN	NaN
2	3	15	68	11	0.800	2	2	1	0.413	1882655.861	1882656.673	1882656.870	1882656.879
2	3	16	72	5	0.350	1	1	1	0.492	1882659.884	1882660.239	1882660.861	1882660.866
2	3	17	76	13	0.400	2	2	1	0.420	1882663.889	1882664.268	1882664.863	1882664.868
2	3	18	80	NaN	NaN	NaN	NaN	NaN	NaN	1882667.868	NaN	NaN	NaN
2	3	19	84	10	0.550	1	1	1	0.431	1882671.861	1882672.424	1882672.863	1882672.867
2	3	20	88	3	0.750	1	1	1	0.472	1882675.878	1882676.626	1882676.870	1882676.878
2	3	21	92	NaN	NaN	NaN	NaN	NaN	NaN	1882679.881	NaN	NaN	NaN
2	3	22	96	4	0.550	2	2	1	0.388	1882683.860	1882684.422	1882684.865	1882684.869
2	3	23	100	12	0.550	1	1	1	0.461	1882687.878	1882688.414	1882688.866	1882688.870
2	3	24	104	2	0.600	1	1	1	0.429	1882691.879	1882692.467	1882692.867	1882692.871
2	3	25	108	6	0.900	1	1	1	0.420	1882695.895	1882696.770	1882696.862	1882696.867
2	3	26	112	1	0.300	2	2	1	0.484	1882699.884	1882700.171	1882700.879	1882700.884
2	3	27	116	8	0.300	1	1	1	0.543	1882703.880	1882704.170	1882704.869	1882704.877
2	3	28	120	7	0.100	1	1	1	0.606	1882707.885	1882707.967	1882708.869	1882708.877
2	3	29	124	11	0.850	2	2	1	0.395	1882711.881	1882712.721	1882712.865	1882712.869
2	3	30	128	9	0.100	2	2	1	0.567	1882715.876	1882715.992	1882716.871	1882716.875
2	3	31	132	4	0.700	1	1	1	0.429	1882719.890	1882720.565	1882720.879	1882720.884
2	3	32	136	3	0.250	1	1	1	0.504	1882723.885	1882724.125	1882724.884	1882724.888
2	3	33	140	NaN	NaN	NaN	NaN	NaN	NaN	1882727.892	NaN	NaN	NaN
2	3	34	144	9	0.200	2	2	1	0.535	1882731.861	1882732.075	1882732.869	1882732.879
2	3	35	148	2	0.700	2	2	1	0.416	1882735.894	1882736.569	1882736.871	1882736.875
2	3	36	152	1	0.600	2	2	1	0.514	1882739.881	1882740.470	1882740.861	1882740.865
2	3	37	156	NaN	NaN	NaN	NaN	NaN	NaN	1882743.867	NaN	NaN	NaN
2	3	38	160	12	0.450	1	1	1	0.491	1882747.862	1882748.323	1882748.865	1882748.869
2	3	39	164	5	0.100	1	1	1	0.498	1882751.889	1882751.968	1882752.865	1882752.869
2	3	40	168	8	0.300	1	1	1	0.478	1882755.880	1882756.176	1882756.868	1882756.872
2	3	41	172	13	0.300	2	2	1	0.392	1882759.876	1882760.182	1882760.862	1882760.866
2	3	42	176	10	0.450	2	2	1	0.393	1882763.892	1882764.321	1882764.863	1882764.867
2	3	43	180	7	0.100	1	1	1	0.622	1882767.890	1882767.975	1882768.860	1882768.865
2	3	44	184	6	0.600	2	2	1	0.361	1882771.891	1882772.467	1882772.878	1882772.883
2	3	45	188	NaN	NaN	NaN	NaN	NaN	NaN	1882775.870	NaN	NaN	NaN
2	3	46	192	11	0.100	2	2	1	0.471	1882779.871	1882779.973	1882780.865	1882780.869
2	3	47	196	9	0.900	1	1	1	0.379	1882783.892	1882784.771	1882784.870	1882784.890
