onset	duration	node	response_time	accuracy
12	1	11	0.497	1
16	1	4	0.482	1
20	1	10	0.430	1
24	1	12	0.343	1
28	1	8	0.431	1
32	1	3	0.377	1
36	1	1	0.521	1
40	1	13	0.460	1
44	1	6	0.479	1
48	1	7	0.519	1
52	1	2	0.348	1
56	1	5	0.452	1
64	1	9	0.354	1
68	1	8	0.325	1
72	1	6	0.343	1
76	1	7	0.454	1
80	1	11	0.451	1
88	1	13	0.406	1
92	1	9	0.460	1
108	1	2	0.454	1
116	1	10	0.480	1
120	1	5	0.343	1
124	1	12	0.385	1
128	1	3	0.635	1
132	1	1	0.464	1
136	1	4	0.505	1
148	1	8	0.506	1
156	1	2	0.558	1
164	1	5	0.462	1
168	1	7	0.369	1
172	1	11	0.451	1
176	1	13	0.395	1
188	1	12	0.484	1
192	1	1	0.518	1
196	1	6	0.450	1
200	1	10	0.444	1
204	1	4	0.476	1
208	1	3	0.312	1
212	1	9	0.524	1
216	1	12	0.349	1
220	1	2	0.381	1
224	1	7	0.524	1
228	1	10	0.402	1
232	1	1	0.340	1
236	1	8	0.568	1
240	1	6	0.422	1
244	1	5	0.467	1
248	1	9	0.411	1
252	1	3	0.386	1
256	1	4	0.376	1
260	1	11	0.429	1
264	1	13	0.307	1
