onset	duration	node	response_time	accuracy
12	1	7	0.373	1
16	1	3	0.323	0
20	1	6	0.345	1
24	1	12	0.370	1
28	1	5	0.440	1
32	1	10	0.382	1
36	1	8	0.407	1
40	1	11	0.360	1
44	1	4	0.381	1
48	1	9	0.410	1
52	1	1	0.322	1
56	1	2	0.372	1
60	1	13	0.344	1
64	1	10	0.377	1
72	1	4	0.394	1
76	1	6	0.350	1
80	1	8	0.297	1
84	1	11	0.337	1
88	1	12	0.344	1
100	1	2	0.357	1
104	1	13	0.405	1
112	1	7	0.570	1
116	1	1	0.281	1
120	1	3	0.312	1
124	1	9	0.342	1
128	1	5	0.510	1
132	1	1	0.411	1
140	1	12	0.503	1
144	1	3	0.453	1
148	1	5	0.378	1
152	1	8	0.369	1
160	1	13	0.431	1
164	1	4	0.395	1
168	1	11	0.382	1
172	1	2	0.301	1
176	1	6	0.498	1
180	1	10	0.407	1
184	1	7	0.504	1
188	1	9	0.390	1
196	1	9	0.509	1
204	1	2	0.344	1
216	1	1	0.340	1
224	1	12	0.533	1
228	1	3	0.330	1
232	1	8	0.380	1
236	1	10	0.274	1
240	1	7	0.465	1
244	1	6	0.389	1
248	1	11	0.334	1
256	1	5	0.356	1
260	1	4	0.421	1
264	1	13	0.370	1
