task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	1	1	12	3	0.650	1	1	1	0.321	5227.262	5227.955	5228.271	5228.287
1	1	2	16	13	0.850	2	2	1	0.514	5231.316	5232.124	5232.271	5232.287
1	1	3	20	9	0.400	2	2	1	0.446	5235.305	5235.685	5236.271	5236.292
1	1	4	24	NaN	NaN	NaN	NaN	NaN	NaN	5239.294	NaN	NaN	NaN
1	1	5	28	8	0.350	2	2	1	0.484	5243.279	5243.624	5244.267	5244.280
1	1	6	32	11	0.800	1	1	1	0.366	5247.317	5248.089	5248.264	5248.268
1	1	7	36	7	0.400	1	1	1	0.420	5251.295	5251.669	5252.268	5252.277
1	1	8	40	4	0.750	2	2	1	0.362	5255.296	5256.021	5256.267	5256.280
1	1	9	44	2	0.900	2	2	1	0.363	5259.298	5260.170	5260.282	5260.286
1	1	10	48	12	0.450	1	1	1	0.309	5263.299	5263.718	5264.280	5264.296
1	1	11	52	NaN	NaN	NaN	NaN	NaN	NaN	5267.287	NaN	NaN	NaN
1	1	12	56	5	0.200	1	1	1	0.352	5271.262	5271.468	5272.283	5272.288
1	1	13	60	1	0.400	1	1	1	0.390	5275.289	5275.669	5276.272	5276.276
1	1	14	64	6	0.800	2	2	1	0.266	5279.285	5280.073	5280.262	5280.267
1	1	15	68	10	0.450	1	1	1	0.395	5283.286	5283.725	5284.270	5284.273
1	1	16	72	7	0.100	2	2	1	0.388	5287.307	5287.372	5288.265	5288.279
1	1	17	76	NaN	NaN	NaN	NaN	NaN	NaN	5291.294	NaN	NaN	NaN
1	1	18	80	2	0.250	2	1	0	0.270	5295.280	5295.524	5296.265	5296.269
1	1	19	84	10	0.400	2	2	1	0.392	5299.281	5299.668	5300.267	5300.280
1	1	20	88	NaN	NaN	NaN	NaN	NaN	NaN	5303.288	NaN	NaN	NaN
1	1	21	92	13	0.750	2	2	1	0.361	5307.261	5308.028	5308.271	5308.275
1	1	22	96	12	0.800	2	2	1	0.383	5311.282	5312.087	5312.270	5312.287
1	1	23	100	11	0.100	2	2	1	0.456	5315.289	5315.377	5316.268	5316.280
1	1	24	104	4	0.850	1	1	1	0.367	5319.305	5320.129	5320.276	5320.295
1	1	25	108	6	0.850	2	2	1	0.379	5323.294	5324.122	5324.267	5324.275
1	1	26	112	8	0.350	1	1	1	0.359	5327.294	5327.621	5328.265	5328.279
1	1	27	116	1	0.350	2	2	1	0.373	5331.277	5331.623	5332.264	5332.279
1	1	28	120	3	0.900	2	2	1	0.352	5335.280	5336.181	5336.262	5336.266
1	1	29	124	9	0.400	2	2	1	0.236	5339.282	5339.671	5340.270	5340.274
1	1	30	128	5	0.300	2	2	1	0.306	5343.287	5343.581	5344.268	5344.279
1	1	31	132	NaN	NaN	NaN	NaN	NaN	NaN	5347.280	NaN	NaN	NaN
1	1	32	136	NaN	NaN	NaN	NaN	NaN	NaN	5351.277	NaN	NaN	NaN
1	1	33	140	6	0.850	1	1	1	0.423	5355.261	5356.143	5356.261	5356.265
1	1	34	144	2	0.300	1	1	1	0.302	5359.300	5359.578	5360.266	5360.288
1	1	35	148	9	0.150	1	1	1	0.376	5363.304	5363.445	5364.261	5364.276
1	1	36	152	11	0.450	1	1	1	0.319	5367.288	5367.742	5368.266	5368.270
1	1	37	156	12	0.300	1	1	1	0.306	5371.292	5371.587	5372.270	5372.273
1	1	38	160	NaN	NaN	NaN	NaN	NaN	NaN	5375.267	NaN	NaN	NaN
1	1	39	164	4	0.500	1	1	1	0.346	5379.262	5379.781	5380.265	5380.279
1	1	40	168	7	0.800	1	1	1	0.419	5383.303	5384.073	5384.263	5384.268
1	1	41	172	5	0.900	2	1	0	0.374	5387.285	5388.171	5388.266	5388.274
1	1	42	176	8	0.750	1	1	1	0.386	5391.281	5392.041	5392.267	5392.275
1	1	43	180	13	0.750	1	1	1	0.376	5395.304	5396.040	5396.262	5396.279
1	1	44	184	10	0.300	2	2	1	0.348	5399.300	5399.576	5400.270	5400.274
1	1	45	188	3	0.600	1	1	1	0.384	5403.283	5403.869	5404.266	5404.279
1	1	46	192	1	0.150	1	1	1	0.417	5407.287	5407.428	5408.265	5408.279
1	1	47	196	6	0.200	1	1	1	0.455	5411.281	5411.475	5412.269	5412.286
1	1	48	200	3	0.150	2	2	1	0.385	5415.303	5415.445	5416.272	5416.285
1	1	49	204	10	0.300	2	2	1	0.367	5419.299	5419.576	5420.275	5420.280
1	1	50	208	11	0.500	2	2	1	0.373	5423.287	5423.767	5424.266	5424.279
1	1	51	212	7	0.500	2	2	1	0.279	5427.285	5427.771	5428.261	5428.274
1	1	52	216	13	0.550	1	1	1	0.365	5431.282	5431.824	5432.260	5432.275
1	1	53	220	9	0.750	2	2	1	0.371	5435.301	5436.021	5436.270	5436.274
1	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN	5439.293	NaN	NaN	NaN
1	1	55	228	4	0.400	2	2	1	0.376	5443.262	5443.682	5444.264	5444.268
