onset	duration	node	response_time	accuracy
12	1	6	0.392	1
16	1	4	0.442	1
24	1	7	0.373	1
28	1	12	0.354	1
32	1	13	0.297	1
36	1	10	0.247	1
40	1	3	0.330	1
44	1	9	0.450	1
48	1	2	0.393	1
52	1	1	0.381	1
56	1	8	0.400	1
60	1	5	0.356	1
68	1	11	0.352	1
72	1	5	0.413	1
76	1	13	0.340	1
84	1	10	0.313	1
88	1	3	0.343	1
96	1	4	0.295	1
100	1	12	0.338	1
104	1	2	0.322	1
108	1	6	0.381	1
112	1	1	0.410	1
116	1	8	0.333	1
120	1	7	0.390	1
124	1	11	0.383	1
128	1	9	0.336	0
132	1	4	0.368	1
136	1	3	0.424	1
144	1	9	0.420	1
148	1	2	0.398	1
152	1	1	0.352	1
160	1	12	0.471	1
164	1	5	0.348	1
168	1	8	0.355	1
172	1	13	0.538	1
176	1	10	0.601	1
180	1	7	0.689	1
184	1	6	0.412	1
192	1	11	0.569	1
196	1	9	0.344	1
200	1	11	0.269	1
208	1	8	0.278	1
228	1	2	0.378	1
232	1	1	0.317	1
236	1	7	0.315	1
240	1	5	0.349	1
244	1	10	0.343	1
252	1	6	0.401	1
256	1	12	0.411	1
260	1	13	0.386	1
264	1	3	0.344	1
268	1	4	0.472	1
