task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
2	1	1	12	9	0.250	2	2	1	0.500	88332.731	88332.993	88333.738	88333.749
2	1	2	16	NaN	NaN	NaN	NaN	NaN	NaN	88336.756	NaN	NaN	NaN
2	1	3	20	2	0.400	2	2	1	0.499	88340.731	88341.140	88341.743	88341.757
2	1	4	24	4	0.900	2	2	1	0.398	88344.755	88345.647	88345.731	88345.734
2	1	5	28	6	0.450	1	1	1	0.441	88348.762	88349.194	88349.745	88349.756
2	1	6	32	7	0.450	1	1	1	0.584	88352.771	88353.199	88353.739	88353.760
2	1	7	36	10	0.400	1	1	1	0.488	88356.761	88357.144	88357.746	88357.763
2	1	8	40	NaN	NaN	NaN	NaN	NaN	NaN	88360.757	NaN	NaN	NaN
2	1	9	44	5	0.700	2	2	1	0.463	88364.730	88365.449	88365.747	88365.751
2	1	10	48	1	0.900	1	1	1	0.477	88368.755	88369.643	88369.737	88369.749
2	1	11	52	8	0.850	1	1	1	0.542	88372.755	88373.608	88373.735	88373.757
2	1	12	56	3	0.200	2	2	1	0.536	88376.775	88376.934	88377.735	88377.757
2	1	13	60	11	0.550	2	1	0	0.605	88380.746	88381.289	88381.740	88381.756
2	1	14	64	13	0.800	1	1	1	0.668	88384.755	88385.544	88385.731	88385.751
2	1	15	68	12	0.450	1	1	1	0.554	88388.768	88389.186	88389.740	88389.744
2	1	16	72	NaN	NaN	NaN	NaN	NaN	NaN	88392.735	NaN	NaN	NaN
2	1	17	76	2	0.500	1	1	1	0.427	88396.729	88397.241	88397.735	88397.749
2	1	18	80	12	0.550	1	1	1	0.485	88400.761	88401.290	88401.732	88401.737
2	1	19	84	NaN	NaN	NaN	NaN	NaN	NaN	88404.764	NaN	NaN	NaN
2	1	20	88	11	0.200	1	1	1	0.486	88408.731	88408.938	88409.734	88409.739
2	1	21	92	1	0.700	2	2	1	0.430	88412.742	88413.438	88413.755	88413.760
2	1	22	96	NaN	NaN	NaN	NaN	NaN	NaN	88416.751	NaN	NaN	NaN
2	1	23	100	10	0.150	1	1	1	0.671	88420.730	88420.885	88421.734	88421.749
2	1	24	104	3	0.650	1	1	1	0.473	88424.764	88425.400	88425.736	88425.740
2	1	25	108	13	0.600	1	1	1	0.395	88428.750	88429.348	88429.734	88429.739
2	1	26	112	NaN	NaN	NaN	NaN	NaN	NaN	88432.743	NaN	NaN	NaN
2	1	27	116	NaN	NaN	NaN	NaN	NaN	NaN	88436.728	NaN	NaN	NaN
2	1	28	120	6	0.750	2	2	1	0.343	88440.729	88441.485	88441.734	88441.754
2	1	29	124	5	0.550	1	1	1	0.677	88444.754	88445.291	88445.738	88445.754
2	1	30	128	9	0.150	2	2	1	0.521	88448.764	88448.889	88449.736	88449.739
2	1	31	132	7	0.800	1	1	1	0.578	88452.775	88453.537	88453.735	88453.753
2	1	32	136	4	0.850	2	2	1	0.778	88456.750	88457.584	88457.734	88457.749
2	1	33	140	8	0.500	2	2	1	0.656	88460.753	88461.237	88461.738	88461.753
2	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN	88464.756	NaN	NaN	NaN
2	1	35	148	8	0.100	2	2	1	0.782	88468.729	88468.837	88469.742	88469.756
2	1	36	152	NaN	NaN	NaN	NaN	NaN	NaN	88472.748	NaN	NaN	NaN
2	1	37	156	4	0.200	2	2	1	0.629	88476.730	88476.937	88477.739	88477.756
2	1	38	160	13	0.550	1	1	1	0.527	88480.752	88481.310	88481.733	88481.753
2	1	39	164	6	0.900	1	1	1	0.543	88484.760	88485.639	88485.733	88485.753
2	1	40	168	7	0.750	2	2	1	0.541	88488.745	88489.492	88489.733	88489.738
2	1	41	172	3	0.100	2	2	1	0.758	88492.766	88492.837	88493.738	88493.742
2	1	42	176	12	0.350	2	2	1	0.641	88496.748	88497.084	88497.731	88497.741
2	1	43	180	5	0.750	2	2	1	0.530	88500.752	88501.496	88501.736	88501.757
2	1	44	184	1	0.100	2	2	1	0.559	88504.773	88504.849	88505.733	88505.737
2	1	45	188	2	0.300	1	1	1	0.465	88508.754	88509.054	88509.735	88509.738
2	1	46	192	10	0.100	2	2	1	0.767	88512.763	88512.839	88513.732	88513.737
2	1	47	196	9	0.600	2	2	1	0.404	88516.748	88517.336	88517.736	88517.752
2	1	48	200	11	0.900	1	1	1	0.592	88520.769	88521.644	88521.744	88521.755
2	1	49	204	10	0.800	1	1	1	1.175	88524.749	88525.538	88525.732	88525.752
2	1	50	208	12	0.400	1	1	1	0.575	88528.759	88529.136	88529.737	88529.752
2	1	51	212	4	0.250	2	1	0	0.779	88532.772	88532.983	88533.753	88533.758
2	1	52	216	NaN	NaN	NaN	NaN	NaN	NaN	88536.752	NaN	NaN	NaN
2	1	53	220	6	0.150	2	2	1	0.646	88540.729	88540.889	88541.753	88541.758
2	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN	88544.751	NaN	NaN	NaN
2	1	55	228	5	0.300	1	1	1	0.571	88548.728	88549.056	88549.732	88549.752
2	1	56	232	2	0.500	2	2	1	0.494	88552.749	88553.252	88553.732	88553.752
2	1	57	236	11	0.750	2	2	1	0.714	88556.751	88557.493	88557.738	88557.744
2	1	58	240	7	0.200	2	2	1	1.009	88560.756	88560.936	88561.733	88561.752
2	1	59	244	13	0.600	1	1	1	0.442	88564.761	88565.335	88565.733	88565.751
2	1	60	248	9	0.750	1	1	1	0.465	88568.762	88569.501	88569.735	88569.751
2	1	61	252	3	0.450	2	2	1	0.386	88572.744	88573.188	88573.731	88573.752
2	1	62	256	NaN	NaN	NaN	NaN	NaN	NaN	88576.741	NaN	NaN	NaN
2	1	63	260	NaN	NaN	NaN	NaN	NaN	NaN	88580.733	NaN	NaN	NaN
2	1	64	264	1	0.300	1	1	1	0.622	88584.728	88585.035	88585.736	88585.751
2	1	65	268	8	0.550	1	1	1	0.631	88588.744	88589.289	88589.738	88589.742
