onset	duration	node	response_time	accuracy
12	1	11	0.500	1
16	1	6	0.798	1
20	1	4	0.465	1
24	1	12	0.430	1
28	1	10	0.492	1
32	1	2	0.445	1
40	1	5	0.461	1
44	1	9	0.653	1
48	1	1	0.500	1
52	1	8	0.405	1
56	1	13	0.527	1
60	1	3	0.930	1
64	1	7	0.514	1
68	1	13	0.460	1
72	1	4	0.755	1
76	1	9	0.665	1
80	1	1	0.604	1
84	1	2	0.593	1
88	1	12	0.500	1
96	1	8	0.733	1
104	1	11	0.647	1
108	1	7	0.615	1
112	1	6	0.689	1
116	1	3	0.761	1
128	1	5	0.554	1
136	1	10	0.562	1
140	1	7	0.515	1
144	1	8	0.492	1
148	1	1	0.717	1
152	1	12	0.603	1
156	1	2	0.420	1
160	1	11	0.637	1
168	1	3	1.039	1
172	1	4	0.434	1
176	1	5	0.471	1
180	1	6	0.494	1
184	1	10	0.441	1
188	1	9	0.796	1
192	1	13	0.597	1
196	1	7	0.632	1
204	1	13	0.485	1
212	1	5	0.571	1
216	1	1	0.645	1
224	1	2	0.409	1
228	1	8	0.509	1
232	1	6	0.834	1
236	1	10	0.796	1
244	1	4	0.507	1
256	1	9	0.496	1
260	1	3	0.433	1
264	1	11	0.479	1
268	1	12	0.770	1
