task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	3	1	12	5	0.350	2	2	1	0.459
2	3	2	16	13	0.450	2	2	1	0.322
2	3	3	20	7	0.700	2	2	1	0.317
2	3	4	24	10	0.450	2	2	1	0.340
2	3	5	28	2	0.100	2	2	1	0.400
2	3	6	32	11	0.350	1	1	1	0.402
2	3	7	36	NaN	NaN	NaN	NaN	NaN	NaN
2	3	8	40	4	0.600	1	1	1	0.339
2	3	9	44	1	0.300	1	1	1	0.351
2	3	10	48	NaN	NaN	NaN	NaN	NaN	NaN
2	3	11	52	NaN	NaN	NaN	NaN	NaN	NaN
2	3	12	56	6	0.900	2	2	1	0.393
2	3	13	60	9	0.400	1	1	1	0.382
2	3	14	64	12	0.850	1	1	1	0.328
2	3	15	68	8	0.500	1	1	1	0.431
2	3	16	72	NaN	NaN	NaN	NaN	NaN	NaN
2	3	17	76	3	0.650	1	1	1	0.414
2	3	18	80	7	0.100	2	2	1	0.533
2	3	19	84	1	0.450	1	1	1	0.426
2	3	20	88	NaN	NaN	NaN	NaN	NaN	NaN
2	3	21	92	10	0.100	1	1	1	0.441
2	3	22	96	NaN	NaN	NaN	NaN	NaN	NaN
2	3	23	100	5	0.750	2	2	1	0.339
2	3	24	104	NaN	NaN	NaN	NaN	NaN	NaN
2	3	25	108	2	0.450	2	2	1	0.411
2	3	26	112	12	0.700	1	1	1	0.451
2	3	27	116	13	0.200	2	2	1	0.472
2	3	28	120	NaN	NaN	NaN	NaN	NaN	NaN
2	3	29	124	9	0.300	2	2	1	0.375
2	3	30	128	4	0.350	2	2	1	0.423
2	3	31	132	8	0.900	1	1	1	0.317
2	3	32	136	11	0.550	2	2	1	0.368
2	3	33	140	6	0.450	1	1	1	0.396
2	3	34	144	3	0.550	2	2	1	0.557
2	3	35	148	4	0.750	2	2	1	0.413
2	3	36	152	NaN	NaN	NaN	NaN	NaN	NaN
2	3	37	156	1	0.700	2	2	1	0.394
2	3	38	160	NaN	NaN	NaN	NaN	NaN	NaN
2	3	39	164	3	0.200	1	1	1	0.438
2	3	40	168	10	0.600	2	2	1	0.485
2	3	41	172	6	0.300	1	1	1	0.439
2	3	42	176	11	0.750	1	1	1	0.595
2	3	43	180	8	0.100	2	2	1	0.507
2	3	44	184	9	0.100	1	1	1	0.917
2	3	45	188	12	0.100	1	1	1	0.448
2	3	46	192	13	0.800	1	1	1	0.470
2	3	47	196	2	0.650	1	1	1	0.399
2	3	48	200	NaN	NaN	NaN	NaN	NaN	NaN
2	3	49	204	5	0.500	1	1	1	0.622
2	3	50	208	7	0.200	1	1	1	0.450
2	3	51	212	NaN	NaN	NaN	NaN	NaN	NaN
2	3	52	216	13	0.350	1	1	1	0.379
2	3	53	220	12	0.800	2	2	1	0.416
2	3	54	224	3	0.200	1	1	1	0.469
2	3	55	228	NaN	NaN	NaN	NaN	NaN	NaN
2	3	56	232	2	0.100	1	1	1	0.450
2	3	57	236	4	0.550	2	2	1	0.382
2	3	58	240	7	0.700	2	2	1	0.389
2	3	59	244	1	0.550	2	2	1	0.357
2	3	60	248	8	0.400	1	1	1	0.500
2	3	61	252	9	0.200	2	2	1	0.498
2	3	62	256	5	0.100	2	2	1	0.512
2	3	63	260	10	0.900	2	2	1	0.467
2	3	64	264	11	0.800	2	2	1	0.392
2	3	65	268	6	0.600	1	1	1	0.390
