onset	duration	node	response_time	accuracy
12	1	5	0.526	1
16	1	13	0.383	1
20	1	7	0.328	1
24	1	10	0.364	1
28	1	2	0.530	1
32	1	11	0.458	1
40	1	4	0.417	1
44	1	1	0.399	1
56	1	6	0.418	1
60	1	9	0.415	1
64	1	12	0.389	1
68	1	8	0.492	1
76	1	3	0.467	1
80	1	7	0.485	1
84	1	1	0.470	1
92	1	10	0.520	1
100	1	5	0.458	1
108	1	2	0.419	1
112	1	12	0.405	1
116	1	13	0.457	1
124	1	9	0.553	1
128	1	4	0.504	1
132	1	8	0.420	1
136	1	11	0.403	1
140	1	6	0.381	1
144	1	3	0.567	1
148	1	4	0.433	1
156	1	1	0.426	1
164	1	3	0.491	1
168	1	10	0.350	1
172	1	6	0.459	1
176	1	11	0.455	1
180	1	8	0.525	1
184	1	9	0.506	1
188	1	12	0.488	1
192	1	13	0.437	1
196	1	2	0.461	1
204	1	5	0.475	1
208	1	7	0.483	1
216	1	13	0.437	1
220	1	12	0.371	1
224	1	3	0.533	1
232	1	2	0.500	1
236	1	4	0.346	1
240	1	7	0.464	1
244	1	1	0.416	1
248	1	8	0.477	1
252	1	9	0.528	1
256	1	5	0.547	1
260	1	10	0.438	1
264	1	11	0.362	1
268	1	6	0.436	1
