task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
2	1	1	12	8	0.750	1	1	1	0.663
2	1	2	16	NaN	NaN	NaN	NaN	NaN	NaN
2	1	3	20	7	0.750	2	2	1	0.384
2	1	4	24	2	0.700	2	2	1	0.349
2	1	5	28	12	0.500	1	1	1	0.557
2	1	6	32	13	0.800	2	2	1	0.354
2	1	7	36	NaN	NaN	NaN	NaN	NaN	NaN
2	1	8	40	4	0.250	2	2	1	0.402
2	1	9	44	9	0.500	1	1	1	0.372
2	1	10	48	1	0.550	1	1	1	0.352
2	1	11	52	11	0.250	2	2	1	0.390
2	1	12	56	3	0.900	2	2	1	0.267
2	1	13	60	NaN	NaN	NaN	NaN	NaN	NaN
2	1	14	64	10	0.300	1	1	1	0.420
2	1	15	68	5	0.650	1	1	1	0.281
2	1	16	72	6	0.150	1	1	1	0.396
2	1	17	76	1	0.450	1	1	1	0.365
2	1	18	80	4	0.800	2	2	1	0.371
2	1	19	84	10	0.200	1	1	1	0.411
2	1	20	88	8	0.150	1	1	1	0.377
2	1	21	92	13	0.450	1	1	1	0.410
2	1	22	96	12	0.350	2	2	1	0.554
2	1	23	100	9	0.450	1	1	1	0.365
2	1	24	104	11	0.250	1	1	1	0.405
2	1	25	108	3	0.500	2	2	1	0.346
2	1	26	112	5	0.350	1	1	1	0.584
2	1	27	116	2	0.400	2	2	1	0.467
2	1	28	120	6	0.450	2	2	1	0.338
2	1	29	124	7	0.350	2	2	1	0.345
2	1	30	128	NaN	NaN	NaN	NaN	NaN	NaN
2	1	31	132	9	0.600	2	2	1	0.375
2	1	32	136	11	0.550	2	2	1	0.247
2	1	33	140	12	0.100	1	1	1	0.384
2	1	34	144	NaN	NaN	NaN	NaN	NaN	NaN
2	1	35	148	10	0.550	1	2	0	0.466
2	1	36	152	3	0.400	1	1	1	0.356
2	1	37	156	NaN	NaN	NaN	NaN	NaN	NaN
2	1	38	160	13	0.250	2	2	1	0.402
2	1	39	164	2	0.600	1	1	1	0.418
2	1	40	168	7	0.200	2	2	1	0.449
2	1	41	172	8	0.500	1	1	1	0.380
2	1	42	176	4	0.150	2	2	1	0.474
2	1	43	180	5	0.750	1	1	1	0.362
2	1	44	184	6	0.800	2	2	1	0.405
2	1	45	188	1	0.200	2	2	1	0.697
2	1	46	192	13	0.500	2	2	1	0.354
2	1	47	196	7	0.350	1	1	1	0.354
2	1	48	200	9	0.100	1	1	1	0.419
2	1	49	204	5	0.700	2	2	1	0.330
2	1	50	208	NaN	NaN	NaN	NaN	NaN	NaN
2	1	51	212	NaN	NaN	NaN	NaN	NaN	NaN
2	1	52	216	12	0.450	1	1	1	0.399
2	1	53	220	10	0.100	2	2	1	0.620
2	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN
2	1	55	228	2	0.350	2	2	1	0.333
2	1	56	232	11	0.650	2	2	1	0.366
2	1	57	236	4	0.750	2	2	1	0.400
2	1	58	240	1	0.450	1	1	1	0.342
2	1	59	244	NaN	NaN	NaN	NaN	NaN	NaN
2	1	60	248	NaN	NaN	NaN	NaN	NaN	NaN
2	1	61	252	8	0.750	2	2	1	0.305
2	1	62	256	3	0.900	1	1	1	0.399
2	1	63	260	NaN	NaN	NaN	NaN	NaN	NaN
2	1	64	264	6	0.750	1	1	1	0.408
2	1	65	268	NaN	NaN	NaN	NaN	NaN	NaN
