onset	duration	node	response_time	accuracy
12	1	4	0.380	1
16	1	8	0.382	1
20	1	11	0.404	1
24	1	12	0.372	1
28	1	5	0.432	1
32	1	6	0.378	1
36	1	7	0.371	1
40	1	9	0.579	1
44	1	2	0.373	1
48	1	13	0.477	1
52	1	1	0.437	1
56	1	10	0.289	1
60	1	3	0.475	1
64	1	5	0.441	1
68	1	1	0.417	1
72	1	7	0.372	1
76	1	3	0.323	1
92	1	8	0.429	1
96	1	6	0.380	1
100	1	9	0.372	1
104	1	12	0.383	1
108	1	11	0.319	1
112	1	10	0.465	1
120	1	13	0.412	1
124	1	2	0.331	1
128	1	4	0.330	1
132	1	10	0.304	1
136	1	5	0.395	1
140	1	13	0.412	1
144	1	6	0.412	1
152	1	8	0.443	1
156	1	9	0.364	1
160	1	3	0.370	1
164	1	4	0.398	1
168	1	2	0.393	1
176	1	1	0.560	1
180	1	7	0.372	1
192	1	11	0.285	1
200	1	12	0.496	1
204	1	1	0.406	1
208	1	6	0.439	1
212	1	2	0.531	1
220	1	10	0.408	1
224	1	5	0.376	1
232	1	11	0.341	1
236	1	8	0.331	1
240	1	12	0.520	1
248	1	4	0.406	1
252	1	13	0.398	1
256	1	7	0.321	1
260	1	9	0.317	1
264	1	3	0.399	1
