task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	3	1	12	11	0.550	2	2	1	0.866
1	3	2	16	2	0.650	1	1	1	0.428
1	3	3	20	6	0.350	2	2	1	0.331
1	3	4	24	8	0.900	1	1	1	0.402
1	3	5	28	5	0.250	1	1	1	0.633
1	3	6	32	4	0.850	1	1	1	0.578
1	3	7	36	13	0.850	2	2	1	0.629
1	3	8	40	NaN	NaN	NaN	NaN	NaN	NaN
1	3	9	44	7	0.600	1	1	1	0.572
1	3	10	48	3	0.600	2	2	1	0.731
1	3	11	52	12	0.200	2	2	1	1.120
1	3	12	56	10	0.400	2	2	1	0.767
1	3	13	60	1	0.800	2	2	1	0.509
1	3	14	64	NaN	NaN	NaN	NaN	NaN	NaN
1	3	15	68	9	0.350	1	1	1	0.920
1	3	16	72	9	0.100	1	1	1	0.636
1	3	17	76	6	0.900	1	1	1	0.541
1	3	18	80	3	0.150	2	NaN	0	NaN
1	3	19	84	13	0.350	1	1	1	1.096
1	3	20	88	10	0.550	2	2	1	0.483
1	3	21	92	8	0.750	1	1	1	0.326
1	3	22	96	4	0.400	2	NaN	0	NaN
1	3	23	100	NaN	NaN	NaN	NaN	NaN	NaN
1	3	24	104	2	0.550	2	2	1	1.027
1	3	25	108	5	0.500	2	2	1	0.548
1	3	26	112	12	0.100	1	1	1	1.835
1	3	27	116	NaN	NaN	NaN	NaN	NaN	NaN
1	3	28	120	11	0.550	2	2	1	1.031
1	3	29	124	1	0.200	2	NaN	0	NaN
1	3	30	128	7	0.300	2	2	1	1.162
1	3	31	132	4	0.100	1	1	1	1.545
1	3	32	136	NaN	NaN	NaN	NaN	NaN	NaN
1	3	33	140	6	0.650	1	1	1	0.779
1	3	34	144	3	0.200	2	NaN	0	NaN
1	3	35	148	8	0.500	2	2	1	1.248
1	3	36	152	9	0.150	1	1	1	0.613
1	3	37	156	13	0.250	1	1	1	1.771
1	3	38	160	2	0.750	1	1	1	0.546
1	3	39	164	5	0.550	2	2	1	0.585
1	3	40	168	NaN	NaN	NaN	NaN	NaN	NaN
1	3	41	172	NaN	NaN	NaN	NaN	NaN	NaN
1	3	42	176	12	0.350	2	2	1	0.722
1	3	43	180	7	0.100	1	1	1	1.040
1	3	44	184	10	0.250	1	NaN	0	NaN
1	3	45	188	11	0.650	2	1	0	1.057
1	3	46	192	NaN	NaN	NaN	NaN	NaN	NaN
1	3	47	196	NaN	NaN	NaN	NaN	NaN	NaN
1	3	48	200	1	0.500	2	2	1	0.762
1	3	49	204	13	0.900	1	NaN	0	NaN
1	3	50	208	NaN	NaN	NaN	NaN	NaN	NaN
1	3	51	212	NaN	NaN	NaN	NaN	NaN	NaN
1	3	52	216	7	0.850	2	2	1	0.667
1	3	53	220	3	0.900	1	1	1	0.534
1	3	54	224	9	0.700	1	1	1	0.543
1	3	55	228	1	0.700	1	1	1	0.344
1	3	56	232	NaN	NaN	NaN	NaN	NaN	NaN
1	3	57	236	6	0.400	1	1	1	0.665
1	3	58	240	NaN	NaN	NaN	NaN	NaN	NaN
1	3	59	244	8	0.200	2	2	1	0.633
1	3	60	248	10	0.850	1	1	1	0.658
1	3	61	252	4	0.150	2	2	1	1.634
1	3	62	256	2	0.150	1	1	1	1.113
1	3	63	260	5	0.400	1	1	1	0.809
1	3	64	264	12	0.450	2	NaN	0	NaN
1	3	65	268	11	0.300	2	2	1	1.179
