onset	duration	node	response_time	accuracy
12	1	11	0.866	1
16	1	2	0.428	1
20	1	6	0.331	1
24	1	8	0.402	1
28	1	5	0.633	1
32	1	4	0.578	1
36	1	13	0.629	1
44	1	7	0.572	1
48	1	3	0.731	1
52	1	12	1.120	1
56	1	10	0.767	1
60	1	1	0.509	1
68	1	9	0.920	1
72	1	9	0.636	1
76	1	6	0.541	1
80	1	3	NaN	0
84	1	13	1.096	1
88	1	10	0.483	1
92	1	8	0.326	1
96	1	4	NaN	0
104	1	2	1.027	1
108	1	5	0.548	1
112	1	12	1.835	1
120	1	11	1.031	1
124	1	1	NaN	0
128	1	7	1.162	1
132	1	4	1.545	1
140	1	6	0.779	1
144	1	3	NaN	0
148	1	8	1.248	1
152	1	9	0.613	1
156	1	13	1.771	1
160	1	2	0.546	1
164	1	5	0.585	1
176	1	12	0.722	1
180	1	7	1.040	1
184	1	10	NaN	0
188	1	11	1.057	0
200	1	1	0.762	1
204	1	13	NaN	0
216	1	7	0.667	1
220	1	3	0.534	1
224	1	9	0.543	1
228	1	1	0.344	1
236	1	6	0.665	1
244	1	8	0.633	1
248	1	10	0.658	1
252	1	4	1.634	1
256	1	2	1.113	1
260	1	5	0.809	1
264	1	12	NaN	0
268	1	11	1.179	1
