task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	10	0.650	2	2	1	0.463
1	2	2	16	11	0.800	1	1	1	0.369
1	2	3	20	8	0.550	2	2	1	0.306
1	2	4	24	12	0.800	1	1	1	0.327
1	2	5	28	7	0.300	2	2	1	0.351
1	2	6	32	4	0.300	2	2	1	0.377
1	2	7	36	2	0.850	2	2	1	0.375
1	2	8	40	5	0.350	1	1	1	0.323
1	2	9	44	6	0.350	1	1	1	0.336
1	2	10	48	NaN	NaN	NaN	NaN	NaN	NaN
1	2	11	52	9	0.550	1	1	1	0.358
1	2	12	56	1	0.100	1	1	1	0.331
1	2	13	60	3	0.600	1	1	1	0.261
1	2	14	64	NaN	NaN	NaN	NaN	NaN	NaN
1	2	15	68	13	0.850	2	2	1	0.327
1	2	16	72	NaN	NaN	NaN	NaN	NaN	NaN
1	2	17	76	3	0.900	1	1	1	0.337
1	2	18	80	4	0.900	1	1	1	0.320
1	2	19	84	12	0.450	1	1	1	0.231
1	2	20	88	6	0.200	1	1	1	0.543
1	2	21	92	NaN	NaN	NaN	NaN	NaN	NaN
1	2	22	96	NaN	NaN	NaN	NaN	NaN	NaN
1	2	23	100	1	0.550	2	2	1	0.257
1	2	24	104	NaN	NaN	NaN	NaN	NaN	NaN
1	2	25	108	NaN	NaN	NaN	NaN	NaN	NaN
1	2	26	112	13	0.300	1	1	1	0.337
1	2	27	116	NaN	NaN	NaN	NaN	NaN	NaN
1	2	28	120	9	0.700	2	2	1	0.405
1	2	29	124	10	0.550	2	2	1	0.365
1	2	30	128	5	0.100	2	2	1	0.353
1	2	31	132	NaN	NaN	NaN	NaN	NaN	NaN
1	2	32	136	8	0.500	2	2	1	0.365
1	2	33	140	7	0.350	1	1	1	0.319
1	2	34	144	11	0.400	1	1	1	0.275
1	2	35	148	2	0.250	2	2	1	0.350
1	2	36	152	1	0.150	1	1	1	0.335
1	2	37	156	2	0.250	2	2	1	0.308
1	2	38	160	4	0.800	2	2	1	0.334
1	2	39	164	5	0.100	2	2	1	0.363
1	2	40	168	7	0.150	2	2	1	0.329
1	2	41	172	12	0.550	2	2	1	0.240
1	2	42	176	8	0.900	1	1	1	0.292
1	2	43	180	11	0.350	1	1	1	0.289
1	2	44	184	13	0.750	1	1	1	0.267
1	2	45	188	10	0.150	2	2	1	0.339
1	2	46	192	6	0.100	1	1	1	0.402
1	2	47	196	9	0.400	2	2	1	0.279
1	2	48	200	NaN	NaN	NaN	NaN	NaN	NaN
1	2	49	204	3	0.600	2	2	1	0.353
1	2	50	208	NaN	NaN	NaN	NaN	NaN	NaN
1	2	51	212	9	0.600	1	1	1	0.259
1	2	52	216	NaN	NaN	NaN	NaN	NaN	NaN
1	2	53	220	1	0.850	2	2	1	0.354
1	2	54	224	NaN	NaN	NaN	NaN	NaN	NaN
1	2	55	228	6	0.650	1	1	1	0.270
1	2	56	232	11	0.100	2	2	1	0.354
1	2	57	236	4	0.500	1	1	1	0.241
1	2	58	240	8	0.200	2	2	1	0.334
1	2	59	244	3	0.350	1	1	1	0.291
1	2	60	248	5	0.900	1	1	1	0.355
1	2	61	252	13	0.850	2	2	1	0.288
1	2	62	256	7	0.150	1	1	1	0.284
1	2	63	260	10	0.650	2	2	1	0.294
1	2	64	264	2	0.850	2	2	1	0.364
1	2	65	268	12	0.800	1	1	1	0.228
