onset	duration	node	response_time	accuracy
12	1	8	0.862	1
16	1	11	0.473	1
28	1	6	0.317	1
32	1	13	0.346	1
36	1	12	0.454	1
40	1	4	0.252	1
44	1	3	0.346	1
48	1	9	0.281	1
56	1	7	0.360	1
60	1	10	0.309	1
64	1	5	0.279	1
68	1	1	0.314	1
72	1	2	0.307	1
80	1	9	0.316	1
84	1	3	0.250	1
88	1	11	0.335	1
92	1	6	0.334	1
96	1	2	0.332	1
104	1	12	0.333	1
108	1	13	0.369	1
116	1	7	0.265	1
120	1	1	0.311	1
124	1	8	0.299	1
128	1	4	0.324	1
136	1	10	0.337	1
140	1	5	0.343	1
144	1	11	0.275	1
148	1	8	0.334	1
152	1	4	0.416	1
156	1	6	0.345	1
160	1	10	0.346	1
164	1	1	0.652	1
168	1	5	0.300	1
172	1	2	0.318	1
184	1	12	0.281	1
188	1	13	0.316	1
192	1	7	0.304	1
196	1	9	0.302	1
200	1	3	0.291	1
204	1	11	0.339	1
208	1	4	0.355	1
212	1	1	0.306	1
220	1	5	0.350	1
224	1	10	0.396	1
228	1	3	0.359	1
232	1	9	0.297	1
236	1	8	0.300	1
244	1	6	0.410	1
248	1	2	0.292	1
260	1	12	0.401	1
264	1	13	0.343	1
268	1	7	0.287	1
