task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	1	1	12	13	0.350	1	1	1	0.583
1	1	2	16	12	0.450	1	1	1	0.354
1	1	3	20	NaN	NaN	NaN	NaN	NaN	NaN
1	1	4	24	NaN	NaN	NaN	NaN	NaN	NaN
1	1	5	28	7	0.900	2	2	1	0.431
1	1	6	32	1	0.800	1	1	1	0.279
1	1	7	36	10	0.450	1	1	1	0.258
1	1	8	40	9	0.600	2	2	1	0.292
1	1	9	44	6	0.500	2	1	0	0.289
1	1	10	48	5	0.750	2	2	1	0.343
1	1	11	52	NaN	NaN	NaN	NaN	NaN	NaN
1	1	12	56	3	0.900	2	2	1	0.381
1	1	13	60	4	0.350	1	1	1	0.352
1	1	14	64	11	0.800	1	1	1	0.488
1	1	15	68	8	0.150	2	2	1	0.305
1	1	16	72	2	0.400	1	1	1	0.404
1	1	17	76	3	0.350	2	2	1	0.293
1	1	18	80	5	0.450	2	2	1	0.446
1	1	19	84	1	0.750	1	1	1	0.278
1	1	20	88	4	0.650	1	2	0	0.367
1	1	21	92	2	0.750	1	1	1	0.355
1	1	22	96	11	0.850	1	1	1	0.402
1	1	23	100	7	0.850	2	2	1	0.313
1	1	24	104	12	0.200	2	1	0	0.311
1	1	25	108	10	0.450	1	1	1	0.453
1	1	26	112	13	0.150	2	2	1	0.358
1	1	27	116	6	0.350	2	2	1	0.331
1	1	28	120	8	0.600	1	1	1	0.392
1	1	29	124	9	0.150	2	2	1	0.394
1	1	30	128	6	0.450	1	1	1	0.443
1	1	31	132	9	0.300	1	1	1	0.493
1	1	32	136	NaN	NaN	NaN	NaN	NaN	NaN
1	1	33	140	NaN	NaN	NaN	NaN	NaN	NaN
1	1	34	144	12	0.200	2	2	1	0.567
1	1	35	148	4	0.550	2	2	1	0.309
1	1	36	152	3	0.300	1	1	1	0.428
1	1	37	156	NaN	NaN	NaN	NaN	NaN	NaN
1	1	38	160	NaN	NaN	NaN	NaN	NaN	NaN
1	1	39	164	NaN	NaN	NaN	NaN	NaN	NaN
1	1	40	168	2	0.900	1	1	1	0.395
1	1	41	172	8	0.150	1	1	1	0.330
1	1	42	176	5	0.150	2	2	1	0.473
1	1	43	180	11	0.450	1	1	1	0.387
1	1	44	184	1	0.700	1	1	1	0.366
1	1	45	188	10	0.350	1	1	1	0.313
1	1	46	192	13	0.600	1	1	1	0.351
1	1	47	196	7	0.350	1	1	1	0.387
1	1	48	200	NaN	NaN	NaN	NaN	NaN	NaN
1	1	49	204	11	0.500	2	2	1	0.464
1	1	50	208	2	0.750	2	2	1	0.327
1	1	51	212	6	0.250	1	1	1	0.375
1	1	52	216	7	0.800	2	2	1	0.323
1	1	53	220	3	0.450	2	2	1	0.314
1	1	54	224	NaN	NaN	NaN	NaN	NaN	NaN
1	1	55	228	8	0.600	2	2	1	0.314
1	1	56	232	12	0.700	2	2	1	0.339
1	1	57	236	5	0.100	2	2	1	0.495
1	1	58	240	1	0.650	1	1	1	0.428
1	1	59	244	9	0.800	2	2	1	0.312
1	1	60	248	NaN	NaN	NaN	NaN	NaN	NaN
1	1	61	252	13	0.700	2	2	1	0.316
1	1	62	256	4	0.400	2	2	1	0.325
1	1	63	260	NaN	NaN	NaN	NaN	NaN	NaN
1	1	64	264	10	0.900	1	1	1	0.418
1	1	65	268	NaN	NaN	NaN	NaN	NaN	NaN
