onset	duration	node	response_time	accuracy
12	1	8	0.417	1
16	1	1	0.363	1
20	1	12	0.358	1
24	1	3	0.249	1
28	1	11	0.279	1
32	1	6	0.395	1
52	1	5	0.344	0
60	1	13	0.486	1
64	1	9	0.454	1
72	1	4	0.426	1
80	1	2	0.391	1
84	1	10	0.488	1
92	1	7	0.375	1
96	1	13	0.404	1
100	1	4	0.321	1
112	1	9	0.334	1
124	1	11	0.364	1
128	1	5	0.365	1
132	1	1	0.383	1
136	1	10	0.455	1
140	1	6	0.500	1
144	1	8	0.471	1
148	1	3	0.375	1
152	1	7	0.312	1
156	1	12	0.443	1
160	1	2	0.418	1
164	1	1	0.315	1
168	1	7	0.302	1
172	1	8	0.401	1
176	1	2	0.455	1
180	1	13	0.313	1
188	1	6	0.358	1
192	1	11	0.436	1
196	1	10	0.348	1
200	1	3	0.372	1
204	1	4	0.346	1
208	1	5	0.410	1
212	1	9	0.335	1
216	1	12	0.418	1
220	1	13	0.335	1
224	1	5	0.463	1
228	1	8	0.574	1
232	1	3	0.291	1
236	1	10	0.485	1
240	1	6	0.287	1
244	1	2	0.468	1
248	1	1	0.340	1
252	1	7	0.408	1
256	1	12	0.307	1
260	1	11	0.409	1
264	1	4	0.763	1
268	1	9	0.345	1
