task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt
1	2	1	12	4	0.150	1	1	1	0.832
1	2	2	16	1	0.400	1	1	1	0.416
1	2	3	20	7	0.100	2	2	1	0.505
1	2	4	24	11	0.450	2	NaN	0	NaN
1	2	5	28	5	0.400	2	NaN	0	NaN
1	2	6	32	NaN	NaN	NaN	NaN	NaN	NaN
1	2	7	36	NaN	NaN	NaN	NaN	NaN	NaN
1	2	8	40	9	0.450	1	1	1	0.463
1	2	9	44	12	0.700	2	2	1	0.580
1	2	10	48	10	0.400	2	NaN	0	NaN
1	2	11	52	6	0.200	1	1	1	0.462
1	2	12	56	13	0.800	2	2	1	0.481
1	2	13	60	3	0.850	2	2	1	0.474
1	2	14	64	8	0.700	1	1	1	0.401
1	2	15	68	2	0.100	1	1	1	0.494
1	2	16	72	3	0.750	2	2	1	0.484
1	2	17	76	5	0.650	2	NaN	0	NaN
1	2	18	80	1	0.850	2	2	1	0.436
1	2	19	84	8	0.450	2	2	1	0.469
1	2	20	88	12	0.600	1	NaN	0	NaN
1	2	21	92	NaN	NaN	NaN	NaN	NaN	NaN
1	2	22	96	6	0.900	2	2	1	0.446
1	2	23	100	9	0.500	1	1	1	0.399
1	2	24	104	NaN	NaN	NaN	NaN	NaN	NaN
1	2	25	108	NaN	NaN	NaN	NaN	NaN	NaN
1	2	26	112	NaN	NaN	NaN	NaN	NaN	NaN
1	2	27	116	2	0.500	2	NaN	0	NaN
1	2	28	120	11	0.100	1	1	1	0.590
1	2	29	124	NaN	NaN	NaN	NaN	NaN	NaN
1	2	30	128	NaN	NaN	NaN	NaN	NaN	NaN
1	2	31	132	13	0.450	2	2	1	0.585
1	2	32	136	10	0.750	2	2	1	0.459
1	2	33	140	4	0.400	1	1	1	0.511
1	2	34	144	7	0.800	2	2	1	0.481
1	2	35	148	12	0.650	1	1	1	0.446
1	2	36	152	7	0.900	1	1	1	0.488
1	2	37	156	NaN	NaN	NaN	NaN	NaN	NaN
1	2	38	160	1	0.150	1	1	1	0.596
1	2	39	164	NaN	NaN	NaN	NaN	NaN	NaN
1	2	40	168	11	0.500	1	1	1	0.346
1	2	41	172	4	0.800	2	2	1	0.437
1	2	42	176	13	0.600	2	NaN	0	NaN
1	2	43	180	5	0.900	1	1	1	0.406
1	2	44	184	2	0.550	1	NaN	0	NaN
1	2	45	188	8	0.200	2	2	1	0.490
1	2	46	192	NaN	NaN	NaN	NaN	NaN	NaN
1	2	47	196	3	0.650	1	1	1	0.459
1	2	48	200	10	0.400	1	1	1	0.414
1	2	49	204	6	0.350	1	1	1	0.333
1	2	50	208	9	0.750	1	1	1	0.349
1	2	51	212	4	0.350	2	2	1	0.453
1	2	52	216	7	0.150	1	1	1	0.575
1	2	53	220	8	0.850	2	2	1	0.352
1	2	54	224	2	0.650	2	2	1	0.441
1	2	55	228	12	0.200	1	1	1	0.396
1	2	56	232	11	0.500	1	1	1	0.707
1	2	57	236	1	0.250	2	2	1	0.880
1	2	58	240	13	0.500	2	NaN	0	NaN
1	2	59	244	3	0.300	1	1	1	0.382
1	2	60	248	NaN	NaN	NaN	NaN	NaN	NaN
1	2	61	252	5	0.850	2	2	1	0.431
1	2	62	256	6	0.200	1	1	1	0.428
1	2	63	260	NaN	NaN	NaN	NaN	NaN	NaN
1	2	64	264	9	0.400	1	1	1	0.614
1	2	65	268	10	0.700	2	NaN	0	NaN
