onset	duration	node	response_time	accuracy
12	1	3	0.735	1
28	1	1	NaN	0
32	1	5	0.544	1
36	1	8	0.513	1
40	1	7	0.614	0
44	1	2	0.549	1
48	1	11	0.716	1
52	1	13	0.600	1
56	1	6	0.512	1
64	1	12	0.487	1
68	1	10	0.484	1
72	1	4	0.451	1
76	1	9	0.471	1
80	1	2	0.452	1
84	1	3	0.406	1
88	1	1	0.479	1
96	1	11	0.558	1
100	1	6	NaN	0
104	1	8	0.483	1
108	1	5	0.357	1
116	1	12	0.423	1
120	1	7	0.300	1
124	1	4	0.389	1
128	1	13	0.289	1
132	1	10	0.421	1
140	1	9	0.473	0
144	1	3	0.850	1
148	1	9	0.516	1
156	1	1	0.533	1
160	1	6	0.497	1
164	1	13	0.572	1
168	1	11	0.379	1
172	1	4	0.520	1
176	1	7	0.889	1
180	1	10	0.587	1
184	1	2	0.869	1
188	1	5	0.423	1
192	1	8	0.505	1
196	1	12	0.492	0
204	1	6	NaN	0
216	1	10	NaN	0
220	1	4	0.475	1
224	1	2	0.406	1
228	1	9	0.367	1
236	1	7	0.498	1
240	1	3	NaN	0
244	1	12	0.503	1
252	1	11	0.645	1
256	1	1	0.471	1
260	1	13	0.488	1
264	1	5	NaN	0
268	1	8	0.580	1
