Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
16	49	1	61	47	39	59.9	49.5	43
15	32	1	41	29	29	40.6	29.8	31.2
14	29	1	67	56	25	63.4	60.2	28.7
13	28	1	30	73	19	29.6	74	20.9
12	23	1	52	65	66	53.1	64.1	67.6
11	23	1	63	70	20	62.9	71.1	20.7
10	22	1	52	67	45	51.2	67	47
9	19	1	20	73	42	20.4	73.6	43.6
8	18	1	59	58	32	59.5	57.2	34
7	13	1	52	46	52	52.8	47.4	52.7
6	11	1	52	80	22	54.1	79.8	23.7
5	11	1	59	71	26	59.2	69.8	27.8
4	10	1	63	84	37	63.5	84.2	37.8
3	10	1	62	68	35	61.5	67.9	36.2
2	10	1	31	81	44	31.8	81.2	45.2
1	10	1	55	71	56	54.7	72	56.8
